case,group,stage,report,from,to,model,minimum_reward_risk,stop_buffer_atr,maximum_holding_bars,maximum_trades_per_day,dynamic,dynamic_trigger,dynamic_lock,session,safe_filter,allow_long,allow_short,risk_percent,initial_balance,final_balance,net_profit,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe_ratio,recovery_factor,history_quality,analysed_sharpe,analysed_recovery
stop-buffer-003,stop,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-stop-buffer-003.htm,2023.09.01,2025.08.31,1,2.00,0.03,24,2,true,0.50,0.20,0,false,true,true,1.00,10000.0,13807.85,3807.85,38.08,1.32,36.77,10.43,155,3.91,2.49,98%,1.36,3.21
stop-buffer-005,stop,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-stop-buffer-005.htm,2023.09.01,2025.08.31,1,2.00,0.05,24,2,true,0.50,0.20,0,false,true,true,1.00,10000.0,13416.85,3416.85,34.17,1.29,36.77,10.71,155,3.61,2.23,98%,1.28,2.83
stop-buffer-008,stop,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-stop-buffer-008.htm,2023.09.01,2025.08.31,1,2.00,0.08,24,2,true,0.50,0.20,0,false,true,true,1.00,10000.0,13249.87,3249.87,32.5,1.29,36.49,12.62,148,3.57,1.77,98%,1.24,2.11
stop-buffer-012,stop,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-stop-buffer-012.htm,2023.09.01,2025.08.31,1,2.00,0.12,24,2,true,0.50,0.20,0,false,true,true,1.00,10000.0,12266.38,2266.38,22.66,1.21,36.49,12.7,148,2.65,1.32,98%,0.95,1.56
stop-buffer-020,stop,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-stop-buffer-020.htm,2023.09.01,2025.08.31,1,2.00,0.20,24,2,true,0.50,0.20,0,false,true,true,1.00,10000.0,12206.91,2206.91,22.07,1.23,38.62,10.46,145,2.68,1.6,98%,1.02,1.76
stop-buffer-030,stop,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-stop-buffer-030.htm,2023.09.01,2025.08.31,1,2.00,0.30,24,2,true,0.50,0.20,0,false,true,true,1.00,10000.0,11840.32,1840.32,18.4,1.2,38.57,10.38,140,2.35,1.54,98%,0.93,1.61
manage-native,management,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-manage-native.htm,2023.09.01,2025.08.31,1,2.00,0.08,24,2,false,0.50,0.20,0,false,true,true,1.00,10000.0,13227.8,3227.8,32.28,1.28,30.14,10.97,146,3.17,2.5,98%,1.21,3.13
manage-dynamic5020,management,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-manage-dynamic5020.htm,2023.09.01,2025.08.31,1,2.00,0.08,24,2,true,0.50,0.20,0,false,true,true,1.00,10000.0,13249.87,3249.87,32.5,1.29,36.49,12.62,148,3.57,1.77,98%,1.24,2.11
manage-dynamic5010,management,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-manage-dynamic5010.htm,2023.09.01,2025.08.31,1,2.00,0.08,24,2,true,0.50,0.10,0,false,true,true,1.00,10000.0,12902.85,2902.85,29.03,1.26,36.49,14.27,148,3.11,1.41,98%,1.11,1.64
manage-dynamic5030,management,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-manage-dynamic5030.htm,2023.09.01,2025.08.31,1,2.00,0.08,24,2,true,0.50,0.30,0,false,true,true,1.00,10000.0,12934.9,2934.9,29.35,1.27,36.49,11.96,148,3.43,1.74,98%,1.18,2.1
manage-dynamic6020,management,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-manage-dynamic6020.htm,2023.09.01,2025.08.31,1,2.00,0.08,24,2,true,0.60,0.20,0,false,true,true,1.00,10000.0,14877.26,4877.26,48.77,1.41,36.05,11.13,147,4.81,2.75,98%,1.68,3.13
manage-dynamic7525,management,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-manage-dynamic7525.htm,2023.09.01,2025.08.31,1,2.00,0.08,24,2,true,0.75,0.25,0,false,true,true,1.00,10000.0,13694.58,3694.58,36.95,1.31,31.29,9.41,147,3.66,2.71,98%,1.33,3.45
hold-12,holding,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-hold-12.htm,2023.09.01,2025.08.31,1,2.00,0.08,12,2,true,0.50,0.20,0,false,true,true,1.00,10000.0,12808.33,2808.33,28.08,1.27,39.74,12.65,151,3.62,1.58,98%,1.15,1.87
hold-24,holding,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-hold-24.htm,2023.09.01,2025.08.31,1,2.00,0.08,24,2,true,0.50,0.20,0,false,true,true,1.00,10000.0,13249.87,3249.87,32.5,1.29,36.49,12.62,148,3.57,1.77,98%,1.24,2.11
hold-48,holding,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-hold-48.htm,2023.09.01,2025.08.31,1,2.00,0.08,48,2,true,0.50,0.20,0,false,true,true,1.00,10000.0,13186.44,3186.44,31.86,1.29,36.11,12.87,144,3.26,1.71,98%,1.22,2.02
hold-96,holding,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-hold-96.htm,2023.09.01,2025.08.31,1,2.00,0.08,96,2,true,0.50,0.20,0,false,true,true,1.00,10000.0,12753.15,2753.15,27.53,1.26,35.66,11.01,143,2.79,1.82,98%,1.1,2.17
max-trades-1,frequency,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-max-trades-1.htm,2023.09.01,2025.08.31,1,2.00,0.08,24,1,true,0.50,0.20,0,false,true,true,1.00,10000.0,10903.73,903.73,9.04,1.1,33.87,16.42,124,1.36,0.44,98%,0.44,0.5
max-trades-2,frequency,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-max-trades-2.htm,2023.09.01,2025.08.31,1,2.00,0.08,24,2,true,0.50,0.20,0,false,true,true,1.00,10000.0,13249.87,3249.87,32.5,1.29,36.49,12.62,148,3.57,1.77,98%,1.24,2.11
max-trades-3,frequency,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-max-trades-3.htm,2023.09.01,2025.08.31,1,2.00,0.08,24,3,true,0.50,0.20,0,false,true,true,1.00,10000.0,12950.22,2950.22,29.5,1.25,36.6,12.78,153,3.23,1.62,98%,1.13,1.93
session-all,session,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-session-all.htm,2023.09.01,2025.08.31,1,2.00,0.08,24,2,true,0.50,0.20,0,false,true,true,1.00,10000.0,13249.87,3249.87,32.5,1.29,36.49,12.62,148,3.57,1.77,98%,1.24,2.11
session-asia,session,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-session-asia.htm,2023.09.01,2025.08.31,1,2.00,0.08,24,2,true,0.50,0.20,1,false,true,true,1.00,10000.0,10502.92,502.92,5.03,1.14,36.54,13.61,52,2.02,0.3,98%,0.37,0.35
session-london,session,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-session-london.htm,2023.09.01,2025.08.31,1,2.00,0.08,24,2,true,0.50,0.20,2,false,true,true,1.00,10000.0,10931.93,931.93,9.32,1.44,44.74,11.04,38,4.68,0.82,98%,0.9,0.9
session-new-york,session,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-session-new-york.htm,2023.09.01,2025.08.31,1,2.00,0.08,24,2,true,0.50,0.20,3,false,true,true,1.00,10000.0,10003.28,3.28,0.03,1.0,28.81,9.75,59,0.01,0.0,98%,0.0,0.0
session-overlap,session,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-session-overlap.htm,2023.09.01,2025.08.31,1,2.00,0.08,24,2,true,0.50,0.20,4,false,true,true,1.00,10000.0,8982.49,-1017.51,-10.18,0.53,20.69,10.89,29,-5.0,-0.93,98%,-1.45,-0.94
safe-off,safe-filter,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-safe-off.htm,2023.09.01,2025.08.31,1,2.00,0.08,24,2,true,0.50,0.20,0,false,true,true,1.00,10000.0,13249.87,3249.87,32.5,1.29,36.49,12.62,148,3.57,1.77,98%,1.24,2.11
safe-on,safe-filter,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-safe-on.htm,2023.09.01,2025.08.31,1,2.00,0.08,24,2,true,0.50,0.20,0,true,true,true,1.00,10000.0,13888.07,3888.07,38.88,1.76,42.25,9.58,71,7.95,3.54,98%,1.92,5.12
direction-both,direction,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-direction-both.htm,2023.09.01,2025.08.31,1,2.00,0.08,24,2,true,0.50,0.20,0,false,true,true,1.00,10000.0,13249.87,3249.87,32.5,1.29,36.49,12.62,148,3.57,1.77,98%,1.24,2.11
direction-long-only,direction,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-direction-long-only.htm,2023.09.01,2025.08.31,1,2.00,0.08,24,2,true,0.50,0.20,0,false,true,false,1.00,10000.0,14127.77,4127.77,41.28,1.38,37.88,13.19,132,4.78,2.0,98%,1.51,2.37
direction-short-only,direction,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-direction-short-only.htm,2023.09.01,2025.08.31,1,2.00,0.08,24,2,true,0.50,0.20,0,false,false,true,1.00,10000.0,9270.02,-729.98,-7.3,0.38,25.0,10.25,16,-5.0,-0.69,98%,-1.88,-0.94
candidate-native-rr2,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-candidate-native-rr2.htm,2023.09.01,2025.08.31,1,2.00,0.08,24,2,false,0.50,0.20,0,false,true,true,1.00,10000.0,13227.8,3227.8,32.28,1.28,30.14,10.97,146,3.17,2.5,98%,1.21,3.13
candidate-dynamic-rr2,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-candidate-dynamic-rr2.htm,2023.09.01,2025.08.31,1,2.00,0.08,24,2,true,0.50,0.20,0,false,true,true,1.00,10000.0,13249.87,3249.87,32.5,1.29,36.49,12.62,148,3.57,1.77,98%,1.24,2.11
combo-rr25-stop000-dyn6020,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-combo-rr25-stop000-dyn6020.htm,2023.09.01,2025.08.31,1,2.50,0.00,24,2,true,0.60,0.20,0,false,true,true,1.00,10000.0,17038.09,7038.09,70.38,1.65,36.72,7.86,128,6.73,5.09,98%,2.16,7.06
combo-rr25-stop000-dyn6020-safe,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-combo-rr25-stop000-dyn6020-safe.htm,2023.09.01,2025.08.31,1,2.50,0.00,24,2,true,0.60,0.20,0,true,true,true,1.00,10000.0,16099.65,6099.65,61.0,2.38,44.07,8.99,59,11.88,5.77,98%,2.52,9.71
combo-rr25-stop000-dyn6020-long,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-combo-rr25-stop000-dyn6020-long.htm,2023.09.01,2025.08.31,1,2.50,0.00,24,2,true,0.60,0.20,0,false,true,false,1.00,10000.0,18413.52,8413.52,84.14,1.85,39.64,7.8,111,8.53,5.67,98%,2.48,8.0
combo-rr25-stop000-dyn6020-long-safe,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-combo-rr25-stop000-dyn6020-long-safe.htm,2023.09.01,2025.08.31,1,2.50,0.00,24,2,true,0.60,0.20,0,true,true,false,1.00,10000.0,16099.65,6099.65,61.0,2.38,44.07,8.99,59,11.88,5.77,98%,2.52,9.71
combo-rr25-stop003-dyn6020,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-combo-rr25-stop003-dyn6020.htm,2023.09.01,2025.08.31,1,2.50,0.03,24,2,true,0.60,0.20,0,false,true,true,1.00,10000.0,15775.11,5775.11,57.75,1.56,36.43,9.86,129,5.9,4.55,98%,1.95,5.44
combo-rr25-stop003-dyn6020-safe,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-combo-rr25-stop003-dyn6020-safe.htm,2023.09.01,2025.08.31,1,2.50,0.03,24,2,true,0.60,0.20,0,true,true,true,1.00,10000.0,15563.61,5563.61,55.64,2.25,44.26,8.59,61,11.2,5.56,98%,2.43,9.13
combo-rr25-stop003-dyn6020-long,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-combo-rr25-stop003-dyn6020-long.htm,2023.09.01,2025.08.31,1,2.50,0.03,24,2,true,0.60,0.20,0,false,true,false,1.00,10000.0,17412.18,7412.18,74.12,1.76,39.82,9.81,113,7.9,5.35,98%,2.35,7.02
combo-rr25-stop003-dyn6020-long-safe,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Development\engineered-xau-development-combo-rr25-stop003-dyn6020-long-safe.htm,2023.09.01,2025.08.31,1,2.50,0.03,24,2,true,0.60,0.20,0,true,true,false,1.00,10000.0,15563.61,5563.61,55.64,2.25,44.26,8.59,61,11.2,5.56,98%,2.43,9.13
