month,ea,symbol,category,signals,accepted,rejected,wins,losses,win_rate_pct,profit_factor,gross_profit,commission,swap,net_profit,return_pct,stress_profit,stressed_return_pct,exec_net_profit,swing_exec_return_pct,exec_stress_profit,swing_exec_stressed_return_pct
2025-05,News XAU,XAUUSD,news,2,2,0,1,1,50.0,0.42,-237.04,-14.42,0.0,-251.47,-0.251,-649.53,-0.65,-251.47,-0.251,-649.53,-0.65
2025-06,News XAU,XAUUSD,news,3,3,0,2,1,66.67,0.22,-293.75,-21.7,0.0,-315.45,-0.315,-786.16,-0.786,-315.45,-0.315,-786.16,-0.786
2025-07,News XAU,XAUUSD,news,1,1,0,1,0,100.0,,924.42,-7.26,0.0,917.16,0.917,483.65,0.484,917.16,0.917,483.65,0.484
2025-08,News XAU,XAUUSD,news,2,2,0,2,0,100.0,,881.69,-14.35,0.0,867.34,0.867,338.77,0.339,867.34,0.867,338.77,0.339
2025-09,News XAU,XAUUSD,news,5,5,0,3,2,60.0,1.43,708.52,-35.35,0.0,673.17,0.673,-1070.67,-1.071,673.17,0.673,-1070.67,-1.071
2025-10,News XAU,XAUUSD,news,2,2,0,2,0,100.0,,2948.37,-13.97,0.0,2934.4,2.934,1682.36,1.682,2934.4,2.934,1682.36,1.682
2025-11,News XAU,XAUUSD,news,1,1,0,0,1,0.0,0.0,-268.12,-6.88,0.0,-275.0,-0.275,-456.25,-0.456,-275.0,-0.275,-456.25,-0.456
2025-12,News XAU,XAUUSD,news,3,3,0,2,1,66.67,8.34,1610.14,-21.61,0.0,1588.54,1.589,565.12,0.565,1588.54,1.589,565.12,0.565
2026-01,News XAU,XAUUSD,news,3,3,0,2,1,66.67,1.74,636.04,-22.05,0.0,613.99,0.614,-435.95,-0.436,613.99,0.614,-435.95,-0.436
2026-02,News XAU,XAUUSD,news,2,2,0,2,0,100.0,,9457.74,-14.49,0.0,9443.25,9.443,5913.11,5.913,9443.25,9.443,5913.11,5.913
2026-03,News XAU,XAUUSD,news,3,3,0,0,3,0.0,0.0,-363.63,-21.15,0.0,-384.78,-0.385,-818.48,-0.818,-384.78,-0.385,-818.48,-0.818
2026-04,News XAU,XAUUSD,news,2,2,0,1,1,50.0,1.92,476.69,-14.07,0.0,462.62,0.463,-225.84,-0.226,462.62,0.463,-225.84,-0.226
2026-05,News XAU,XAUUSD,news,1,1,0,0,1,0.0,0.0,-970.52,-7.04,0.0,-977.56,-0.978,-1334.45,-1.334,-977.56,-0.978,-1334.45,-1.334
2026-06,News XAU,XAUUSD,news,4,4,0,3,1,75.0,4.05,4561.43,-28.29,0.0,4533.14,4.533,1604.24,1.604,4533.14,4.533,1604.24,1.604
2026-07,News XAU,XAUUSD,news,3,3,0,3,0,100.0,,7733.47,-21.55,0.0,7711.92,7.712,4675.25,4.675,7711.92,7.712,4675.25,4.675
2026-08,News XAU,XAUUSD,news,4,4,0,2,2,50.0,2.98,4170.55,-28.74,0.0,4141.81,4.142,990.04,0.99,4141.81,4.142,990.04,0.99
2023-09,News XAG,XAGUSD,news,2,2,0,0,2,0.0,0.0,-589.36,-181.17,0.0,-770.53,-0.771,-1188.16,-1.188,-770.53,-0.771,-1188.16,-1.188
2023-10,News XAG,XAGUSD,news,2,2,0,1,1,50.0,0.55,-197.66,-181.59,0.0,-379.25,-0.379,-971.9,-0.972,-379.25,-0.379,-971.9,-0.972
2023-11,News XAG,XAGUSD,news,2,2,0,2,0,100.0,,2618.13,-181.82,0.0,2436.31,2.436,1358.6,1.359,2436.31,2.436,1358.6,1.359
2023-12,News XAG,XAGUSD,news,4,4,0,2,2,50.0,1.92,1344.89,-365.64,0.0,979.26,0.979,-455.26,-0.455,979.26,0.979,-455.26,-0.455
2024-01,News XAG,XAGUSD,news,3,3,0,2,1,66.67,4.79,1103.21,-277.25,0.0,825.96,0.826,68.71,0.069,825.96,0.826,68.71,0.069
2024-02,News XAG,XAGUSD,news,2,2,0,2,0,100.0,,2594.7,-182.86,0.0,2411.85,2.412,1342.7,1.343,2411.85,2.412,1342.7,1.343
2024-03,News XAG,XAGUSD,news,4,4,0,2,2,50.0,0.32,-564.18,-362.26,0.0,-926.44,-0.926,-1872.01,-1.872,-926.44,-0.926,-1872.01,-1.872
2024-04,News XAG,XAGUSD,news,2,2,0,2,0,100.0,,1818.35,-180.94,0.0,1637.41,1.637,839.32,0.839,1637.41,1.637,839.32,0.839
2024-05,News XAG,XAGUSD,news,3,3,0,2,1,66.67,16.65,3728.76,-270.49,0.0,3458.27,3.458,1777.78,1.778,3458.27,3.458,1777.78,1.778
2024-06,News XAG,XAGUSD,news,3,3,0,2,1,66.67,7.3,4789.45,-272.97,0.0,4516.48,4.516,2168.15,2.168,4516.48,4.516,2168.15,2.168
2024-07,News XAG,XAGUSD,news,3,3,0,2,1,66.67,20.41,3734.42,-272.1,0.0,3462.32,3.462,1805.95,1.806,3462.32,3.462,1805.95,1.806
2024-08,News XAG,XAGUSD,news,2,2,0,1,1,50.0,1.93,839.18,-182.38,0.0,656.81,0.657,-224.06,-0.224,656.81,0.657,-224.06,-0.224
2024-09,News XAG,XAGUSD,news,5,5,0,2,3,40.0,1.38,1293.79,-460.45,0.0,833.34,0.833,-1337.42,-1.337,833.34,0.833,-1337.42,-1.337
2024-10,News XAG,XAGUSD,news,3,3,0,2,1,66.67,1.46,724.33,-270.22,0.0,454.11,0.454,-632.21,-0.632,454.11,0.454,-632.21,-0.632
2024-11,News XAG,XAGUSD,news,2,2,0,1,1,50.0,6.34,1521.07,-180.43,0.0,1340.64,1.341,495.66,0.496,1340.64,1.341,495.66,0.496
2024-12,News XAG,XAGUSD,news,2,2,0,0,2,0.0,0.0,-357.09,-181.97,0.0,-539.07,-0.539,-898.83,-0.899,-539.07,-0.539,-898.83,-0.899
2025-01,News XAG,XAGUSD,news,2,2,0,2,0,100.0,,1582.94,-182.06,0.0,1400.88,1.401,685.57,0.686,1400.88,1.401,685.57,0.686
2025-02,News XAG,XAGUSD,news,2,2,0,1,1,50.0,0.8,7.5,-184.74,0.0,-177.24,-0.177,-883.17,-0.883,-177.24,-0.177,-883.17,-0.883
2025-03,News XAG,XAGUSD,news,2,2,0,0,2,0.0,0.0,-67.94,-184.31,0.0,-252.24,-0.252,-540.31,-0.54,-252.24,-0.252,-540.31,-0.54
2025-04,News XAG,XAGUSD,news,2,2,0,1,1,50.0,0.27,-458.48,-181.68,0.0,-640.16,-0.64,-1168.97,-1.169,-640.16,-0.64,-1168.97,-1.169
2025-05,News XAG,XAGUSD,news,2,2,0,0,2,0.0,0.0,-1099.69,-179.03,0.0,-1278.72,-1.279,-1823.4,-1.823,-1278.72,-1.279,-1823.4,-1.823
2025-06,News XAG,XAGUSD,news,2,2,0,0,2,0.0,0.0,-1095.73,-181.14,0.0,-1276.87,-1.277,-1821.09,-1.821,-1276.87,-1.277,-1821.09,-1.821
2025-07,News XAG,XAGUSD,news,2,2,0,1,1,50.0,1.35,388.85,-182.13,0.0,206.72,0.207,-448.52,-0.449,206.72,0.207,-448.52,-0.449
2025-08,News XAG,XAGUSD,news,2,2,0,2,0,100.0,,891.48,-182.0,0.0,709.49,0.709,236.17,0.236,709.49,0.709,236.17,0.236
2025-09,News XAG,XAGUSD,news,4,4,0,2,2,50.0,1.49,1231.0,-370.0,0.0,861.01,0.861,-951.93,-0.952,861.01,0.861,-951.93,-0.952
2025-10,News XAG,XAGUSD,news,1,1,0,1,0,100.0,,3573.66,-89.86,0.0,3483.8,3.484,2151.97,2.152,3483.8,3.484,2151.97,2.152
2025-11,News XAG,XAGUSD,news,2,2,0,0,2,0.0,0.0,-1069.84,-181.98,0.0,-1251.81,-1.252,-1789.77,-1.79,-1251.81,-1.252,-1789.77,-1.79
2025-12,News XAG,XAGUSD,news,3,3,0,3,0,100.0,,7872.17,-275.87,0.0,7596.3,7.596,4600.1,4.6,7596.3,7.596,4600.1,4.6
2026-01,News XAG,XAGUSD,news,5,0,5,1,4,20.0,0.67,-1654.32,-461.78,0.0,-2116.1,-2.116,-5736.78,-5.737,0.0,0.0,0.0,0.0
2026-02,News XAG,XAGUSD,news,2,0,2,2,0,100.0,,19991.99,-181.83,0.0,19810.16,19.81,12651.61,12.652,0.0,0.0,0.0,0.0
2026-03,News XAG,XAGUSD,news,4,0,4,2,2,50.0,1.58,2018.16,-363.64,0.0,1654.52,1.655,-1096.97,-1.097,0.0,0.0,0.0,0.0
2026-04,News XAG,XAGUSD,news,2,1,1,0,2,0.0,0.0,-280.22,-183.71,0.0,-463.93,-0.464,-804.91,-0.805,-198.44,-0.198,-360.55,-0.361
2026-05,News XAG,XAGUSD,news,4,0,4,1,3,25.0,0.38,-1174.06,-361.07,0.0,-1535.13,-1.535,-2937.57,-2.938,0.0,0.0,0.0,0.0
2026-06,News XAG,XAGUSD,news,3,3,0,2,1,66.67,5.39,5306.1,-270.99,0.0,5035.11,5.035,2247.25,2.247,5035.11,5.035,2247.25,2.247
2026-07,News XAG,XAGUSD,news,3,3,0,3,0,100.0,,17019.55,-270.25,0.0,16749.3,16.749,10549.54,10.55,16749.3,16.749,10549.54,10.55
2026-08,News XAG,XAGUSD,news,4,4,0,3,1,75.0,8.38,9809.21,-361.33,0.0,9447.88,9.448,4923.44,4.923,9447.88,9.448,4923.44,4.923
2023-09,News BTC,BTCUSD,news,2,0,2,2,0,100.0,,512.95,-87.82,0.0,425.13,0.425,51.34,0.051,0.0,0.0,0.0,0.0
2023-10,News BTC,BTCUSD,news,1,0,1,1,0,100.0,,309.38,-44.01,0.0,265.37,0.265,59.99,0.06,0.0,0.0,0.0,0.0
2023-11,News BTC,BTCUSD,news,2,0,2,1,1,50.0,3.22,697.76,-87.91,0.0,609.85,0.61,6.29,0.006,0.0,0.0,0.0,0.0
2023-12,News BTC,BTCUSD,news,3,0,3,3,0,100.0,,1370.12,-131.97,0.0,1238.15,1.238,467.3,0.467,0.0,0.0,0.0,0.0
2024-01,News BTC,BTCUSD,news,3,0,3,2,1,66.67,17.1,328.07,-131.88,0.0,196.2,0.196,-217.28,-0.217,0.0,0.0,0.0,0.0
2024-02,News BTC,BTCUSD,news,2,0,2,2,0,100.0,,1623.46,-87.84,0.0,1535.62,1.536,773.15,0.773,0.0,0.0,0.0,0.0
2024-03,News BTC,BTCUSD,news,4,0,4,3,1,75.0,4.09,2812.18,-176.82,0.0,2635.36,2.635,750.57,0.751,0.0,0.0,0.0,0.0
2024-04,News BTC,BTCUSD,news,3,0,3,2,1,66.67,5.37,3735.09,-132.5,0.0,3602.59,3.603,1509.02,1.509,0.0,0.0,0.0,0.0
2024-05,News BTC,BTCUSD,news,4,0,4,2,2,50.0,12.93,13292.67,-175.78,0.0,13116.89,13.117,7416.4,7.416,0.0,0.0,0.0,0.0
2024-06,News BTC,BTCUSD,news,4,0,4,3,1,75.0,28.37,23679.97,-175.8,0.0,23504.17,23.504,14312.36,14.312,0.0,0.0,0.0,0.0
2024-07,News BTC,BTCUSD,news,5,0,5,4,1,80.0,12.53,9959.6,-219.68,0.0,9739.91,9.74,5261.74,5.262,0.0,0.0,0.0,0.0
2024-08,News BTC,BTCUSD,news,4,0,4,2,2,50.0,2.92,3316.05,-175.65,0.0,3140.4,3.14,608.75,0.609,0.0,0.0,0.0,0.0
2024-09,News BTC,BTCUSD,news,5,0,5,5,0,100.0,,15183.95,-218.66,0.0,14965.29,14.965,9164.94,9.165,0.0,0.0,0.0,0.0
2024-10,News BTC,BTCUSD,news,2,0,2,2,0,100.0,,1718.32,-87.69,0.0,1630.63,1.631,834.91,0.835,0.0,0.0,0.0,0.0
2024-11,News BTC,BTCUSD,news,4,0,4,3,1,75.0,8.34,6138.87,-175.8,0.0,5963.07,5.963,2938.3,2.938,0.0,0.0,0.0,0.0
2024-12,News BTC,BTCUSD,news,4,0,4,2,2,50.0,2.32,2376.1,-175.78,0.0,2200.31,2.2,-18.76,-0.019,0.0,0.0,0.0,0.0
2025-01,News BTC,BTCUSD,news,3,0,3,3,0,100.0,,28061.0,-131.56,0.0,27929.44,27.929,17816.64,17.817,0.0,0.0,0.0,0.0
2025-02,News BTC,BTCUSD,news,4,0,4,3,1,75.0,17.99,14639.21,-174.78,0.0,14464.43,14.464,8441.09,8.441,0.0,0.0,0.0,0.0
2025-03,News BTC,BTCUSD,news,5,0,5,3,2,60.0,8.35,12435.88,-218.75,0.0,12217.14,12.217,6381.72,6.382,0.0,0.0,0.0,0.0
2025-04,News BTC,BTCUSD,news,2,0,2,1,1,50.0,7.93,5727.56,-87.64,0.0,5639.91,5.64,2952.56,2.953,0.0,0.0,0.0,0.0
2025-05,News BTC,BTCUSD,news,5,0,5,3,2,60.0,2.85,3274.71,-219.75,0.0,3054.96,3.055,432.86,0.433,0.0,0.0,0.0,0.0
2025-06,News BTC,BTCUSD,news,3,0,3,3,0,100.0,,9046.0,-131.42,0.0,8914.59,8.915,5456.98,5.457,0.0,0.0,0.0,0.0
2025-07,News BTC,BTCUSD,news,4,0,4,4,0,100.0,,5778.24,-174.54,0.0,5603.69,5.604,3192.4,3.192,0.0,0.0,0.0,0.0
2025-08,News BTC,BTCUSD,news,3,0,3,3,0,100.0,,6862.11,-131.07,0.0,6731.03,6.731,4037.67,4.038,0.0,0.0,0.0,0.0
2025-09,News BTC,BTCUSD,news,5,0,5,5,0,100.0,,17777.46,-218.24,0.0,17559.23,17.559,10851.0,10.851,0.0,0.0,0.0,0.0
2025-10,News BTC,BTCUSD,news,4,0,4,2,2,50.0,6.57,9279.86,-175.83,0.0,9104.03,9.104,4486.56,4.487,0.0,0.0,0.0,0.0
2025-11,News BTC,BTCUSD,news,2,0,2,0,2,0.0,0.0,-1577.31,-87.98,0.0,-1665.29,-1.665,-2306.61,-2.307,0.0,0.0,0.0,0.0
2025-12,News BTC,BTCUSD,news,4,0,4,2,2,50.0,8.63,12586.83,-175.55,0.0,12411.28,12.411,6641.32,6.641,0.0,0.0,0.0,0.0
2026-01,News BTC,BTCUSD,news,4,0,4,3,1,75.0,4.0,2626.41,-175.11,0.0,2451.3,2.451,653.41,0.653,0.0,0.0,0.0,0.0
2026-02,News BTC,BTCUSD,news,2,0,2,2,0,100.0,,3597.87,-87.56,0.0,3510.31,3.51,2056.7,2.057,0.0,0.0,0.0,0.0
2026-03,News BTC,BTCUSD,news,3,0,3,3,0,100.0,,3157.39,-131.35,0.0,3026.04,3.026,1629.42,1.629,0.0,0.0,0.0,0.0
2026-04,News BTC,BTCUSD,news,4,0,4,2,2,50.0,2.6,1602.95,-174.75,0.0,1428.2,1.428,-56.95,-0.057,0.0,0.0,0.0,0.0
2026-05,News BTC,BTCUSD,news,4,0,4,2,2,50.0,1.05,219.87,-175.46,0.0,44.41,0.044,-937.7,-0.938,0.0,0.0,0.0,0.0
2026-06,News BTC,BTCUSD,news,4,0,4,4,0,100.0,,8001.02,-175.05,0.0,7825.97,7.826,4636.88,4.637,0.0,0.0,0.0,0.0
2026-07,News BTC,BTCUSD,news,3,0,3,3,0,100.0,,8385.47,-131.32,0.0,8254.14,8.254,5027.69,5.028,0.0,0.0,0.0,0.0
2026-08,News BTC,BTCUSD,news,4,0,4,2,2,50.0,0.38,-862.85,-175.51,0.0,-1038.36,-1.038,-2128.14,-2.128,0.0,0.0,0.0,0.0
2023-09,ORB VP Confirmed,XAUUSD,regular,0,0,0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10,ORB VP Confirmed,XAUUSD,regular,2,2,0,2,0,100.0,,1842.63,-8.98,0.0,1833.65,1.834,1630.28,1.63,1833.65,1.834,1630.28,1.63
2023-11,ORB VP Confirmed,XAUUSD,regular,0,0,0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12,ORB VP Confirmed,XAUUSD,regular,3,3,0,0,3,0.0,0.0,-1483.84,-15.84,0.0,-1499.68,-1.5,-1679.64,-1.68,-1499.68,-1.5,-1679.64,-1.68
2024-01,ORB VP Confirmed,XAUUSD,regular,2,2,0,1,1,50.0,5.68,424.46,-9.53,0.0,414.92,0.415,335.71,0.336,414.92,0.415,335.71,0.336
2024-02,ORB VP Confirmed,XAUUSD,regular,2,2,0,1,1,50.0,19.74,155.95,-10.05,0.0,145.9,0.146,109.75,0.11,145.9,0.146,109.75,0.11
2024-03,ORB VP Confirmed,XAUUSD,regular,6,6,0,2,4,33.33,1.3,591.15,-27.97,0.0,563.18,0.563,72.05,0.072,563.18,0.563,72.05,0.072
2024-04,ORB VP Confirmed,XAUUSD,regular,2,2,0,1,1,50.0,2.39,702.08,-6.1,0.0,695.98,0.696,506.32,0.506,695.98,0.696,506.32,0.506
2024-05,ORB VP Confirmed,XAUUSD,regular,2,2,0,0,2,0.0,0.0,-985.83,-7.42,0.0,-993.26,-0.993,-1112.58,-1.113,-993.26,-0.993,-1112.58,-1.113
2024-06,ORB VP Confirmed,XAUUSD,regular,1,1,0,0,1,0.0,0.0,-247.33,-2.99,0.0,-250.32,-0.25,-285.35,-0.285,-250.32,-0.25,-285.35,-0.285
2024-07,ORB VP Confirmed,XAUUSD,regular,0,0,0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08,ORB VP Confirmed,XAUUSD,regular,0,0,0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09,ORB VP Confirmed,XAUUSD,regular,4,4,0,1,3,25.0,1.32,312.32,-15.86,0.0,296.45,0.296,39.19,0.039,296.45,0.296,39.19,0.039
2024-10,ORB VP Confirmed,XAUUSD,regular,2,2,0,1,1,50.0,400.34,1158.14,-5.67,0.0,1152.47,1.152,1016.64,1.017,1152.47,1.152,1016.64,1.017
2024-11,ORB VP Confirmed,XAUUSD,regular,1,1,0,0,1,0.0,0.0,-2.34,-5.79,0.0,-8.13,-0.008,-18.94,-0.019,-8.13,-0.008,-18.94,-0.019
2024-12,ORB VP Confirmed,XAUUSD,regular,1,1,0,1,0,100.0,,240.34,-3.68,0.0,236.66,0.237,202.99,0.203,236.66,0.237,202.99,0.203
2025-01,ORB VP Confirmed,XAUUSD,regular,4,4,0,2,2,50.0,3.46,652.58,-15.35,0.0,637.23,0.637,481.73,0.482,637.23,0.637,481.73,0.482
2025-02,ORB VP Confirmed,XAUUSD,regular,1,1,0,0,1,0.0,0.0,-493.28,-3.1,0.0,-496.38,-0.496,-556.02,-0.556,-496.38,-0.496,-556.02,-0.556
2025-03,ORB VP Confirmed,XAUUSD,regular,2,2,0,1,1,50.0,0.7,-137.8,-7.05,0.0,-144.84,-0.145,-246.79,-0.247,-144.84,-0.145,-246.79,-0.247
2025-04,ORB VP Confirmed,XAUUSD,regular,1,1,0,1,0,100.0,,387.78,-1.05,0.0,386.74,0.387,338.06,0.338,386.74,0.387,338.06,0.338
2025-05,ORB VP Confirmed,XAUUSD,regular,3,3,0,3,0,100.0,,1680.89,-6.49,0.0,1674.4,1.674,1476.96,1.477,1674.4,1.674,1476.96,1.477
2025-06,ORB VP Confirmed,XAUUSD,regular,1,1,0,1,0,100.0,,1200.41,-3.29,0.0,1197.12,1.197,1067.41,1.067,1197.12,1.197,1067.41,1.067
2025-07,ORB VP Confirmed,XAUUSD,regular,3,3,0,1,2,33.33,2.46,717.14,-11.14,0.0,706.01,0.706,508.65,0.509,706.01,0.706,508.65,0.509
2025-08,ORB VP Confirmed,XAUUSD,regular,2,2,0,0,2,0.0,0.0,-476.84,-6.78,0.0,-483.62,-0.484,-551.98,-0.552,-483.62,-0.484,-551.98,-0.552
2025-09,ORB VP Confirmed,XAUUSD,regular,2,2,0,1,1,50.0,453.0,1229.55,-6.62,0.0,1225.64,1.226,1082.53,1.083,1225.64,1.226,1082.53,1.083
2025-10,ORB VP Confirmed,XAUUSD,regular,1,1,0,0,1,0.0,0.0,-159.32,-1.69,0.0,-161.01,-0.161,-187.11,-0.187,-161.01,-0.161,-187.11,-0.187
2025-11,ORB VP Confirmed,XAUUSD,regular,2,2,0,0,2,0.0,0.0,-669.2,-2.88,0.0,-672.08,-0.672,-759.29,-0.759,-672.08,-0.672,-759.29,-0.759
2025-12,ORB VP Confirmed,XAUUSD,regular,1,1,0,1,0,100.0,,214.9,-1.46,0.0,213.45,0.213,182.1,0.182,213.45,0.213,182.1,0.182
2026-01,ORB VP Confirmed,XAUUSD,regular,1,1,0,1,0,100.0,,112.42,-1.23,0.0,111.19,0.111,90.07,0.09,111.19,0.111,90.07,0.09
2026-02,ORB VP Confirmed,XAUUSD,regular,0,0,0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03,ORB VP Confirmed,XAUUSD,regular,2,2,0,1,1,50.0,0.47,-238.84,-1.71,0.0,-240.55,-0.241,-327.63,-0.328,-240.55,-0.241,-327.63,-0.328
2026-04,ORB VP Confirmed,XAUUSD,regular,1,1,0,0,1,0.0,0.0,-479.21,-0.97,0.0,-480.18,-0.48,-538.2,-0.538,-480.18,-0.48,-538.2,-0.538
2026-05,ORB VP Confirmed,XAUUSD,regular,4,4,0,3,1,75.0,7.65,2908.97,-5.12,0.0,2903.85,2.904,2486.06,2.486,2903.85,2.904,2486.06,2.486
2026-06,ORB VP Confirmed,XAUUSD,regular,4,4,0,1,3,25.0,0.73,-185.67,-4.85,0.0,-190.52,-0.191,-352.96,-0.353,-190.52,-0.191,-352.96,-0.353
2026-07,ORB VP Confirmed,XAUUSD,regular,3,3,0,1,2,33.33,2.28,648.44,-6.0,0.0,642.44,0.642,448.07,0.448,642.44,0.642,448.07,0.448
2026-08,ORB VP Confirmed,XAUUSD,regular,2,2,0,2,0,100.0,,2402.81,-2.96,0.0,2399.85,2.4,2139.87,2.14,2399.85,2.4,2139.87,2.14
2023-09,XAU Trend Progression,XAUUSD,regular,1,1,0,1,0,100.0,,1469.15,-5.8,0.0,1463.35,1.463,1307.02,1.307,1463.35,1.463,1307.02,1.307
2023-10,XAU Trend Progression,XAUUSD,regular,3,3,0,1,2,33.33,0.02,-934.11,-6.79,0.0,-940.9,-0.941,-1069.62,-1.07,-940.9,-0.941,-1069.62,-1.07
2023-11,XAU Trend Progression,XAUUSD,regular,3,3,0,1,2,33.33,1.49,485.81,-6.1,0.0,479.7,0.48,205.46,0.205,479.7,0.48,205.46,0.205
2023-12,XAU Trend Progression,XAUUSD,regular,5,5,0,4,1,80.0,8.93,3879.73,-16.31,0.0,3863.42,3.863,3329.65,3.33,3863.42,3.863,3329.65,3.33
2024-01,XAU Trend Progression,XAUUSD,regular,1,1,0,0,1,0.0,0.0,-451.94,-2.0,0.0,-453.94,-0.454,-509.34,-0.509,-453.94,-0.454,-509.34,-0.509
2024-02,XAU Trend Progression,XAUUSD,regular,4,4,0,2,2,50.0,1.58,543.54,-12.75,0.0,530.79,0.531,253.55,0.254,530.79,0.531,253.55,0.254
2024-03,XAU Trend Progression,XAUUSD,regular,3,3,0,3,0,100.0,,1440.08,-5.27,0.0,1434.81,1.435,1261.33,1.261,1434.81,1.435,1261.33,1.261
2024-04,XAU Trend Progression,XAUUSD,regular,3,3,0,2,1,66.67,9.38,2288.36,-2.17,0.0,2286.19,2.286,1972.98,1.973,2286.19,2.286,1972.98,1.973
2024-05,XAU Trend Progression,XAUUSD,regular,2,2,0,1,1,50.0,2.93,916.56,-3.47,0.0,913.09,0.913,706.97,0.707,913.09,0.913,706.97,0.707
2024-06,XAU Trend Progression,XAUUSD,regular,1,1,0,1,0,100.0,,22.35,-2.28,0.0,20.07,0.02,8.06,0.008,20.07,0.02,8.06,0.008
2024-07,XAU Trend Progression,XAUUSD,regular,4,4,0,3,1,75.0,9.25,3597.01,-6.05,0.0,3590.96,3.591,3104.84,3.105,3590.96,3.591,3104.84,3.105
2024-08,XAU Trend Progression,XAUUSD,regular,3,3,0,2,1,66.67,3.34,1047.02,-3.85,0.0,1043.17,1.043,819.57,0.82,1043.17,1.043,819.57,0.82
