event,type,status,side,r,best_r,risk_usd_0_10,pnl_usd_0_10,balance_before,balance_after,drawdown_from_peak
Nov 26 2025 PCE,PCE,timeout,sell,-0.05301962485091999,1.2300769814594283,184.46,-9.78,844.1300000000001,834.3500000000001,130.53999999999996
Dec 05 2025 NFP / Jobs,NFP,no_trigger,,0.0,,0.0,0.0,834.3500000000001,834.3500000000001,130.53999999999996
Dec 10 2025 CPI,CPI,no_trigger,,0.0,,0.0,0.0,834.3500000000001,834.3500000000001,130.53999999999996
Dec 10 2025 FOMC Statement,FOMC,loss,buy,-1.0,1.0134657465073613,178.23,-178.23,834.3500000000001,656.1200000000001,308.77
Dec 23 2025 PCE,PCE,no_trigger,,0.0,,0.0,0.0,656.1200000000001,656.1200000000001,308.77
Jan 07 2026 FOMC Minutes,FOMC,no_trigger,,0.0,,0.0,0.0,656.1200000000001,656.1200000000001,308.77
Jan 09 2026 NFP / Jobs,NFP,loss,sell,-1.0,0.2886180867334629,202.69,-202.69,656.1200000000001,453.4300000000001,511.46
Jan 13 2026 CPI,CPI,timeout,buy,0.03028734144447572,1.323738027439852,193.15,5.85,453.4300000000001,459.28000000000014,505.60999999999996
Jan 28 2026 FOMC Statement,FOMC,trail_exit,buy,4.184398195313793,5.184398195313793,206.13,862.53,459.28000000000014,1321.8100000000002,0.0
Jan 30 2026 PCE / PPI,PCE,loss,sell,-1.0,0.3290268881410131,276.33,-276.33,1321.8100000000002,1045.4800000000002,276.3299999999999
Feb 11 2026 NFP / Jobs,NFP,timeout,sell,1.3100408905042957,2.6797819173102857,220.1,288.34,1045.4800000000002,1333.8200000000002,0.0
Feb 13 2026 CPI,CPI,timeout,buy,1.907076330157425,2.0048709988224145,186.82,356.28,1333.8200000000002,1690.1000000000001,0.0
Feb 18 2026 FOMC Minutes,FOMC,loss,buy,-1.0,0.2497191011235766,178.0,-178.0,1690.1000000000001,1512.1000000000001,178.0
Feb 27 2026 PPI / PCE,PCE,timeout,sell,-0.27432314410480363,0.8639737991266107,229.0,-62.82,1512.1000000000001,1449.2800000000002,240.81999999999994
Mar 11 2026 CPI,CPI,loss,buy,-1.0,0.0038354996803812414,187.72,-187.72,1449.2800000000002,1261.5600000000002,428.53999999999996
Mar 18 2026 PPI / FOMC,FOMC,loss,buy,-1.0,0.03797739568272254,186.69,-186.69,1261.5600000000002,1074.8700000000001,615.23
Apr 03 2026 NFP / Jobs,NFP,no_data,,,,,,,1074.8700000000001,
Apr 10 2026 CPI,CPI,timeout,buy,1.2902002971159752,1.3146867476051955,195.21,251.86,1074.8700000000001,1326.73,363.3700000000001
Apr 29 2026 FOMC Statement,FOMC,timeout,sell,-0.3864519427403064,1.033077709611496,195.6,-75.59,1326.73,1251.14,438.96000000000004
May 08 2026 NFP / Jobs,NFP,loss,sell,-1.0,0.014166096160947855,189.89,-189.89,1251.14,1061.25,628.8500000000001
May 12 2026 CPI,CPI,no_trigger,,0.0,,0.0,0.0,1061.25,1061.25,628.8500000000001
May 20 2026 FOMC Minutes,FOMC,no_trigger,,0.0,,0.0,0.0,1061.25,1061.25,628.8500000000001
May 29 2026 PCE,PCE,no_trigger,,0.0,,0.0,0.0,1061.25,1061.25,628.8500000000001
Jun 05 2026 NFP / Jobs,NFP,timeout,sell,4.842346518335364,5.3016069221260205,194.16,940.19,1061.25,2001.44,0.0
Jun 10 2026 CPI,CPI,timeout,buy,0.7518592417921354,1.8752947578451329,220.52,165.8,2001.44,2167.2400000000002,0.0
Jun 17 2026 FOMC Statement,FOMC,trail_exit,sell,3.6057142857142916,4.605714285714292,183.75,662.55,2167.2400000000002,2829.79,0.0
Jun 25 2026 PCE,PCE,timeout,buy,1.4891759465478567,1.9274832962137822,224.5,334.32,2829.79,3164.11,0.0
Jul 02 2026 NFP / Jobs,NFP,trail_exit,buy,2.497033551554817,3.4970335515547935,195.52,488.22,3164.11,3652.33,0.0
Jul 08 2026 FOMC Minutes,FOMC,no_trigger,,0.0,,0.0,0.0,3652.33,3652.33,0.0
Jul 14 2026 CPI,CPI,trail_exit,buy,2.3800877282463926,3.3800877282463926,196.06,466.64,3652.33,4118.97,0.0
