case,group,symbol,stage,report,from,to,model,risk_percent,initial_balance,final_balance,net_profit,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe_ratio,recovery_factor,history_quality,analysed_sharpe,analysed_recovery
rr-300,reward-risk,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-rr-300.htm,2023.09.01,2025.08.31,1,1.00,10000.0,9037.19,-962.81,-9.63,0.91,36.79,21.8,193,-0.47,-0.4,98%,-0.57,-0.42
rr-400,reward-risk,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-rr-400.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11409.0,1409.0,14.09,1.15,31.29,12.19,147,0.58,0.98,98%,0.68,1.03
rr-500,reward-risk,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-rr-500.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10590.66,590.66,5.91,1.07,27.27,13.85,132,0.25,0.38,98%,0.29,0.4
stop-fixed-1000,stop,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-stop-fixed-1000.htm,2023.09.01,2025.08.31,1,1.00,10000.0,7332.52,-2667.48,-26.67,0.87,44.72,30.6,483,-1.58,-0.86,98%,-1.4,-0.9
stop-fixed-1500,stop,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-stop-fixed-1500.htm,2023.09.01,2025.08.31,1,1.00,10000.0,9828.98,-171.02,-1.71,0.99,50.0,15.05,392,-0.09,-0.1,98%,-0.09,-0.11
stop-fixed-2250,stop,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-stop-fixed-2250.htm,2023.09.01,2025.08.31,1,1.00,10000.0,7843.5,-2156.5,-21.57,0.8,47.27,23.63,275,-1.45,-0.91,98%,-1.7,-0.93
stop-fixed-3000,stop,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-stop-fixed-3000.htm,2023.09.01,2025.08.31,1,1.00,10000.0,7959.12,-2040.88,-20.41,0.72,46.5,22.19,200,-1.64,-0.92,98%,-2.06,-0.95
stop-fixed-4500,stop,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-stop-fixed-4500.htm,2023.09.01,2025.08.31,1,1.00,10000.0,9520.49,-479.51,-4.8,0.92,47.11,12.95,121,-0.39,-0.34,98%,-0.43,-0.37
stop-atr-050,stop,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-stop-atr-050.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10153.81,153.81,1.54,1.01,46.21,37.56,541,0.14,0.04,98%,0.07,0.04
stop-atr-075,stop,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-stop-atr-075.htm,2023.09.01,2025.08.31,1,1.00,10000.0,9251.42,-748.58,-7.49,0.97,46.48,32.33,540,-0.57,-0.23,98%,-0.33,-0.23
stop-atr-100,stop,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-stop-atr-100.htm,2023.09.01,2025.08.31,1,1.00,10000.0,9536.22,-463.78,-4.64,0.98,46.62,26.93,532,-0.29,-0.17,98%,-0.2,-0.17
stop-atr-150,stop,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-stop-atr-150.htm,2023.09.01,2025.08.31,1,1.00,10000.0,6374.24,-3625.76,-36.26,0.83,45.29,37.2,499,-2.43,-0.96,98%,-1.93,-0.96
stop-atr-200,stop,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-stop-atr-200.htm,2023.09.01,2025.08.31,1,1.00,10000.0,7854.61,-2145.39,-21.45,0.89,47.58,24.45,433,-1.19,-0.84,98%,-1.1,-0.85
stop-atr-250,stop,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-stop-atr-250.htm,2023.09.01,2025.08.31,1,1.00,10000.0,8217.56,-1782.44,-17.82,0.88,49.17,24.52,360,-0.97,-0.71,98%,-1.1,-0.72
stop-signal-000,stop,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-stop-signal-000.htm,2023.09.01,2025.08.31,1,1.00,10000.0,9630.58,-369.42,-3.69,0.98,46.77,34.23,511,-0.23,-0.1,98%,-0.16,-0.1
stop-signal-010,stop,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-stop-signal-010.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11496.57,1496.57,14.97,1.06,48.23,29.4,508,0.79,0.48,98%,0.58,0.5
stop-signal-025,stop,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-stop-signal-025.htm,2023.09.01,2025.08.31,1,1.00,10000.0,8366.21,-1633.79,-16.34,0.93,47.42,30.68,504,-0.99,-0.51,98%,-0.75,-0.53
stop-signal-050,stop,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-stop-signal-050.htm,2023.09.01,2025.08.31,1,1.00,10000.0,6938.58,-3061.42,-30.61,0.85,46.79,37.06,483,-1.96,-0.79,98%,-1.64,-0.81
manage-none,management,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-manage-none.htm,2023.09.01,2025.08.31,1,1.00,10000.0,7929.98,-2070.02,-20.7,0.81,33.03,26.37,221,-1.21,-0.78,98%,-1.49,-0.8
manage-native-100-050,management,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-manage-native-100-050.htm,2023.09.01,2025.08.31,1,1.00,10000.0,7929.98,-2070.02,-20.7,0.81,33.03,26.37,221,-1.21,-0.78,98%,-1.49,-0.8
manage-native-150-100,management,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-manage-native-150-100.htm,2023.09.01,2025.08.31,1,1.00,10000.0,7929.98,-2070.02,-20.7,0.81,33.03,26.37,221,-1.21,-0.78,98%,-1.49,-0.8
manage-native-200-100,management,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-manage-native-200-100.htm,2023.09.01,2025.08.31,1,1.00,10000.0,7929.98,-2070.02,-20.7,0.81,33.03,26.37,221,-1.21,-0.78,98%,-1.49,-0.8
manage-dynamic5020-only,management,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-manage-dynamic5020-only.htm,2023.09.01,2025.08.31,1,1.00,10000.0,7843.5,-2156.5,-21.57,0.8,47.27,23.63,275,-1.45,-0.91,98%,-1.7,-0.93
manage-dynamic6020-only,management,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-manage-dynamic6020-only.htm,2023.09.01,2025.08.31,1,1.00,10000.0,7194.12,-2805.88,-28.06,0.74,41.67,29.3,264,-1.89,-0.95,98%,-2.24,-0.98
manage-dynamic7525-only,management,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-manage-dynamic7525-only.htm,2023.09.01,2025.08.31,1,1.00,10000.0,7205.84,-2794.16,-27.94,0.74,36.82,29.35,239,-1.8,-0.95,98%,-2.18,-0.97
manage-dynamic5020-native,management,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-manage-dynamic5020-native.htm,2023.09.01,2025.08.31,1,1.00,10000.0,7843.5,-2156.5,-21.57,0.8,47.27,23.63,275,-1.45,-0.91,98%,-1.7,-0.93
manage-dynamic6020-native,management,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-manage-dynamic6020-native.htm,2023.09.01,2025.08.31,1,1.00,10000.0,7194.12,-2805.88,-28.06,0.74,41.67,29.3,264,-1.89,-0.95,98%,-2.24,-0.98
session-all,session,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-session-all.htm,2023.09.01,2025.08.31,1,1.00,10000.0,7843.5,-2156.5,-21.57,0.8,47.27,23.63,275,-1.45,-0.91,98%,-1.7,-0.93
session-asia,session,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-session-asia.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11317.19,1317.19,13.17,1.16,53.51,14.21,185,1.0,0.76,98%,0.89,0.84
session-london,session,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-session-london.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10240.74,240.74,2.41,1.04,51.13,13.67,133,0.26,0.17,98%,0.21,0.19
session-new-york,session,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-session-new-york.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10285.18,285.18,2.85,1.06,52.25,10.66,111,0.36,0.24,98%,0.27,0.26
session-overlap,session,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-session-overlap.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10174.12,174.12,1.74,1.05,53.57,9.95,84,0.27,0.16,98%,0.2,0.18
timeframe-h4,timeframe,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-timeframe-h4.htm,2023.09.01,2025.08.31,1,1.00,10000.0,8173.47,-1826.53,-18.27,0.91,46.28,21.47,430,-1.04,-0.82,98%,-0.89,-0.84
timeframe-h1,timeframe,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-timeframe-h1.htm,2023.09.01,2025.08.31,1,1.00,10000.0,9536.22,-463.78,-4.64,0.98,46.62,26.93,532,-0.29,-0.17,98%,-0.2,-0.17
timeframe-m30,timeframe,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-timeframe-m30.htm,2023.09.01,2025.08.31,1,1.00,10000.0,13033.04,3033.04,30.33,1.11,49.09,33.08,550,2.07,0.92,98%,1.14,0.93
timeframe-m15,timeframe,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-timeframe-m15.htm,2023.09.01,2025.08.31,1,1.00,10000.0,9098.98,-901.02,-9.01,0.97,43.26,37.44,564,-0.82,-0.24,98%,-0.39,-0.24
safe-off,safe-filter,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-safe-off.htm,2023.09.01,2025.08.31,1,1.00,10000.0,7843.5,-2156.5,-21.57,0.8,47.27,23.63,275,-1.45,-0.91,98%,-1.7,-0.93
safe-on,safe-filter,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-safe-on.htm,2023.09.01,2025.08.31,1,1.00,10000.0,9848.14,-151.86,-1.52,0.96,50.54,8.95,93,-0.27,-0.16,98%,-0.16,-0.17
market-xau,market,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-market-xau.htm,2023.09.01,2025.08.31,1,1.00,10000.0,9536.22,-463.78,-4.64,0.98,46.62,26.93,532,-0.29,-0.17,98%,-0.2,-0.17
market-xag,market,XAGUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-market-xag.htm,2023.09.01,2025.08.31,1,1.00,10000.0,2191.13,-7808.87,-78.09,0.49,40.0,79.79,550,-5.0,-0.96,98%,-7.19,-0.97
market-us30,market,US30,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-market-us30.htm,2023.09.01,2025.08.31,1,1.00,10000.0,6842.52,-3157.48,-31.57,0.86,46.2,42.6,552,-1.97,-0.71,98%,-1.61,-0.72
market-us100,market,USTEC,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-market-us100.htm,2023.09.01,2025.08.31,1,1.00,10000.0,6124.17,-3875.83,-38.76,0.84,45.92,40.51,551,-2.58,-0.94,98%,-1.86,-0.96
market-btc,market,BTCUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-market-btc.htm,2023.09.01,2025.08.31,1,1.00,10000.0,7143.97,-2856.03,-28.56,0.89,46.43,40.97,659,-1.39,-0.69,100%,-1.38,-0.7
market-gbpjpy,market,GBPJPY,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-market-gbpjpy.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11928.28,1928.28,19.28,1.07,52.05,22.4,511,1.2,0.84,100%,0.74,0.87
final-deployed-safe,combined-finalist,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-final-deployed-safe.htm,2023.09.01,2025.08.31,1,1.00,10000.0,9848.14,-151.86,-1.52,0.96,50.54,8.95,93,-0.27,-0.16,98%,-0.16,-0.17
final-current-standard,combined-finalist,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-final-current-standard.htm,2023.09.01,2025.08.31,1,1.00,10000.0,7843.5,-2156.5,-21.57,0.8,47.27,23.63,275,-1.45,-0.91,98%,-1.7,-0.93
final-atr100-rr170-dynamic,combined-finalist,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-final-atr100-rr170-dynamic.htm,2023.09.01,2025.08.31,1,1.00,10000.0,9536.22,-463.78,-4.64,0.98,46.62,26.93,532,-0.29,-0.17,98%,-0.2,-0.17
final-signal010-rr170-dynamic,combined-finalist,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-final-signal010-rr170-dynamic.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11496.57,1496.57,14.97,1.06,48.23,29.4,508,0.79,0.48,98%,0.58,0.5
final-atr100-rr250-dynamic,combined-finalist,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-final-atr100-rr250-dynamic.htm,2023.09.01,2025.08.31,1,1.00,10000.0,7190.91,-2809.09,-28.09,0.89,37.93,37.62,522,-1.54,-0.7,98%,-1.12,-0.72
final-atr150-rr250-dynamic,combined-finalist,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-final-atr150-rr250-dynamic.htm,2023.09.01,2025.08.31,1,1.00,10000.0,8979.27,-1020.73,-10.21,0.96,39.96,24.94,458,-0.43,-0.34,98%,-0.39,-0.36
final-fixed2250-rr250-dynamic,combined-finalist,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-final-fixed2250-rr250-dynamic.htm,2023.09.01,2025.08.31,1,1.00,10000.0,6632.89,-3367.11,-33.67,0.66,34.68,36.23,222,-2.18,-0.91,98%,-2.73,-0.94
combo-h1-asia-fixed-rr075,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-combo-h1-asia-fixed-rr075.htm,2023.09.01,2025.08.31,1,1.00,10000.0,9916.58,-83.42,-0.83,0.99,67.37,11.69,236,-0.11,-0.07,98%,-0.08,-0.07
combo-h1-asia-fixed-rr100,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-combo-h1-asia-fixed-rr100.htm,2023.09.01,2025.08.31,1,1.00,10000.0,9682.26,-317.74,-3.18,0.96,60.37,15.48,217,-0.35,-0.19,98%,-0.28,-0.2
combo-h1-asia-fixed-rr170,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-combo-h1-asia-fixed-rr170.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11317.19,1317.19,13.17,1.16,53.51,14.21,185,1.0,0.76,98%,0.89,0.84
combo-h1-asia-fixed-rr300,combined-search,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Development\dmc-development-combo-h1-asia-fixed-rr300.htm,2023.09.01,2025.08.31,1,1.00,10000.0,13542.71,3542.71,35.43,1.42,41.04,10.8,134,1.88,2.41,98%,1.73,2.74
