policy,bot,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,final_rr,exit_price,result,r_multiple,setup_score,atr,atr_percentile,session_metric,stop_mode,rr_mode,entry_model,opened_at_dt,closed_at_dt,day,tf_rank,rank_score,source,balance_before,risk_amount,pnl,balance_after
fixed_current,ORB,GBPUSD,M15,2026-01,2026-01-27 00:15:00,2026-01-27 00:45:00,BUY,1.36811,1.36736,3.0,1.36736,loss,-1.0,100.0,0.00075,0.0417,1.7617,structure,static,ORB 15m breakout,2026-01-27 00:15:00+00:00,2026-01-27 00:45:00+00:00,2026-01-27,3.0,"(100.0, 3.0, 3.0, -0.7617)",dynamic_exit_fixed_current,352.8,17.64,-17.64,335.16
fixed_current,ORB,USDCAD,M15,2026-01,2026-01-27 00:15:00,2026-01-27 00:30:00,SELL,1.3713,1.37168,6.0,1.37168,loss,-1.0,100.0,0.00038,0.5,1.2819,structure,static,ORB 15m breakout,2026-01-27 00:15:00+00:00,2026-01-27 00:30:00+00:00,2026-01-27,3.0,"(100.0, 6.0, 3.0, -0.28190000000000004)",dynamic_exit_fixed_current,335.16,16.76,-16.76,318.4
fixed_current,ORB,GBPUSD,M15,2026-01,2026-01-28 00:15:00,2026-01-28 00:30:00,SELL,1.38139,1.38266,3.0,1.38266,loss,-1.0,100.0,0.001759,0.6146,0.7222,structure,static,ORB 15m breakout,2026-01-28 00:15:00+00:00,2026-01-28 00:30:00+00:00,2026-01-28,3.0,"(100.0, 3.0, 3.0, -0.27780000000000005)",dynamic_exit_fixed_current,318.4,15.92,-15.92,302.48
fixed_current,ORB,NZDUSD,M15,2026-01,2026-01-28 00:15:00,2026-01-28 00:45:00,BUY,0.60281,0.60232,3.0,0.60281,trail_stop,0.5,100.0,0.000764,0.6875,0.6411,structure,static,ORB 15m breakout,2026-01-28 00:15:00+00:00,2026-01-28 00:45:00+00:00,2026-01-28,3.0,"(100.0, 3.0, 3.0, -0.3589)",dynamic_exit_fixed_current,302.48,15.12,7.56,310.04
fixed_current,ORB,AUDUSD,M15,2026-01,2026-01-28 00:15:00,2026-01-28 00:45:00,BUY,0.69965,0.69896,6.0,0.70103,trail_stop,1.5,100.0,0.000805,0.625,0.8571,structure,static,ORB 15m breakout,2026-01-28 00:15:00+00:00,2026-01-28 00:45:00+00:00,2026-01-28,3.0,"(100.0, 6.0, 3.0, -0.14290000000000003)",dynamic_exit_fixed_current,310.04,15.5,23.25,333.3
fixed_current,LTA,GBPJPY,M30,2026-01,2026-01-28 05:30:00,2026-01-28 09:00:00,BUY,210.709,210.35764,6.0,210.35764,loss,-1.0,96.0,0.242429,0.2708,,structure,static,Entry Model 1 - Double Wick Confirmation,2026-01-28 05:30:00+00:00,2026-01-28 09:00:00+00:00,2026-01-28,4.0,"(96.0, 6.0, 4.0, 0)",dynamic_exit_fixed_current,333.3,16.66,-16.66,316.63
fixed_current,ORB,AUDUSD,M15,2026-01,2026-01-29 00:15:00,2026-01-29 01:00:00,BUY,0.70441,0.70309,6.0,0.70309,loss,-1.0,100.0,0.00132,0.2812,1.9473,structure,static,ORB 15m breakout,2026-01-29 00:15:00+00:00,2026-01-29 01:00:00+00:00,2026-01-29,3.0,"(100.0, 6.0, 3.0, -0.9473)",dynamic_exit_fixed_current,316.63,15.83,-15.83,300.8
fixed_current,ORB,GBPUSD,M15,2026-01,2026-01-29 00:15:00,2026-01-29 01:00:00,BUY,1.38271,1.38135,3.0,1.38135,loss,-1.0,100.0,0.00136,0.1979,1.6315,structure,static,ORB 15m breakout,2026-01-29 00:15:00+00:00,2026-01-29 01:00:00+00:00,2026-01-29,3.0,"(100.0, 3.0, 3.0, -0.6315)",dynamic_exit_fixed_current,300.8,15.04,-15.04,285.76
fixed_current,ORB,USDCAD,M15,2026-01,2026-01-29 00:15:00,2026-01-29 01:00:00,SELL,1.35335,1.35461,6.0,1.35461,loss,-1.0,100.0,0.00126,0.1771,1.9622,structure,static,ORB 15m breakout,2026-01-29 00:15:00+00:00,2026-01-29 01:00:00+00:00,2026-01-29,3.0,"(100.0, 6.0, 3.0, -0.9621999999999999)",dynamic_exit_fixed_current,285.76,14.29,-14.29,271.47
fixed_current,LTA,GBPJPY,M15,2026-01,2026-01-29 06:15:00,2026-01-29 07:00:00,SELL,211.644,211.85742,6.0,211.85742,loss,-1.0,96.0,0.116143,0.0208,,structure,static,Entry Model 1 - Double Wick Confirmation,2026-01-29 06:15:00+00:00,2026-01-29 07:00:00+00:00,2026-01-29,3.0,"(96.0, 6.0, 3.0, 0)",dynamic_exit_fixed_current,271.47,13.57,-13.57,257.9
fixed_current,ORB,GBPUSD,M15,2026-01,2026-01-30 00:15:00,2026-01-30 00:30:00,SELL,1.38063,1.38138,3.0,1.37838,win,2.0,100.0,0.00075,0.1354,1.1589,structure,static,ORB 15m breakout,2026-01-30 00:15:00+00:00,2026-01-30 00:30:00+00:00,2026-01-30,3.0,"(100.0, 3.0, 3.0, -0.15890000000000004)",dynamic_exit_fixed_current,257.9,12.89,25.79,283.69
fixed_current,ORB,NZDUSD,M15,2026-01,2026-01-30 00:15:00,2026-01-30 00:30:00,SELL,0.60746,0.60791,3.0,0.60611,win,2.0,100.0,0.00045,0.1042,1.0227,structure,static,ORB 15m breakout,2026-01-30 00:15:00+00:00,2026-01-30 00:30:00+00:00,2026-01-30,3.0,"(100.0, 3.0, 3.0, -0.022699999999999942)",dynamic_exit_fixed_current,283.69,14.18,28.37,312.06
fixed_current,ORB,AUDUSD,M15,2026-01,2026-01-30 00:15:00,2026-01-30 01:00:00,SELL,0.70469,0.70525,6.0,0.70133,win,3.5,100.0,0.00056,0.0729,1.1512,structure,static,ORB 15m breakout,2026-01-30 00:15:00+00:00,2026-01-30 01:00:00+00:00,2026-01-30,3.0,"(100.0, 6.0, 3.0, -0.1512)",dynamic_exit_fixed_current,312.06,15.6,54.61,366.67
fixed_current,LTA,AUDUSD,M30,2026-01,2026-01-30 05:30:00,2026-01-30 07:30:00,SELL,0.69991,0.70108,6.0,0.69991,trail_stop,0.5,100.0,0.001469,0.8438,,structure,static,Entry Model 1 - Double Wick Confirmation,2026-01-30 05:30:00+00:00,2026-01-30 07:30:00+00:00,2026-01-30,4.0,"(100.0, 6.0, 4.0, 0)",dynamic_exit_fixed_current,366.67,18.33,9.17,375.83
fixed_current,LTA,GBPJPY,M15,2026-01,2026-01-30 05:30:00,2026-01-30 06:15:00,BUY,211.826,211.56736,6.0,211.56736,loss,-1.0,98.0,0.204286,0.7396,,structure,static,Entry Model 1 - Double Wick Confirmation,2026-01-30 05:30:00+00:00,2026-01-30 06:15:00+00:00,2026-01-30,3.0,"(98.0, 6.0, 3.0, 0)",dynamic_exit_fixed_current,375.83,18.79,-18.79,357.04
fixed_current,ORB,AUDUSD,M15,2026-02,2026-02-02 00:15:00,2026-02-02 01:00:00,BUY,0.69697,0.69434,6.0,0.69434,loss,-1.0,95.0,0.00263,0.5833,2.5748,structure,static,ORB 15m breakout,2026-02-02 00:15:00+00:00,2026-02-02 01:00:00+00:00,2026-02-02,3.0,"(95.0, 6.0, 3.0, -1.5748000000000002)",dynamic_exit_fixed_current,357.04,17.85,-17.85,339.19
fixed_current,ORB,NZDUSD,M15,2026-02,2026-02-02 00:15:00,2026-02-02 05:15:00,BUY,0.60299,0.60076,3.0,0.60076,loss,-1.0,95.0,0.00223,0.7604,2.5157,structure,static,ORB 15m breakout,2026-02-02 00:15:00+00:00,2026-02-02 05:15:00+00:00,2026-02-02,3.0,"(95.0, 3.0, 3.0, -1.5156999999999998)",dynamic_exit_fixed_current,339.19,16.96,-16.96,322.23
fixed_current,ORB,USDCAD,M15,2026-02,2026-02-02 00:15:00,2026-02-02 01:00:00,SELL,1.36145,1.3638,6.0,1.3638,loss,-1.0,100.0,0.00235,0.6667,1.7189,structure,static,ORB 15m breakout,2026-02-02 00:15:00+00:00,2026-02-02 01:00:00+00:00,2026-02-02,3.0,"(100.0, 6.0, 3.0, -0.7189000000000001)",dynamic_exit_fixed_current,322.23,16.11,-16.11,306.12
fixed_current,LTA,USDCAD,M15,2026-02,2026-02-02 04:00:00,2026-02-02 05:15:00,SELL,1.3642,1.3652,6.0,1.3652,loss,-1.0,91.0,0.001158,0.4479,,structure,static,Entry Model 1 - Double Wick Confirmation,2026-02-02 04:00:00+00:00,2026-02-02 05:15:00+00:00,2026-02-02,3.0,"(91.0, 6.0, 3.0, 0)",dynamic_exit_fixed_current,306.12,15.31,-15.31,290.81
fixed_current,LTA,GBPJPY,M15,2026-02,2026-02-02 07:00:00,2026-02-03 07:15:00,BUY,211.815,211.24922,6.0,212.76,timeout,1.3351,100.0,0.211857,0.75,,structure,static,Entry Model 3 - Confirmation of Internal Structure,2026-02-02 07:00:00+00:00,2026-02-03 07:15:00+00:00,2026-02-02,3.0,"(100.0, 6.0, 3.0, 0)",dynamic_exit_fixed_current,290.81,14.54,19.41,310.22
fixed_current,ORB,NZDUSD,M15,2026-02,2026-02-03 00:15:00,2026-02-03 01:00:00,BUY,0.6015,0.60107,3.0,0.6015,trail_stop,0.5,100.0,0.00043,0.1042,1.1402,structure,static,ORB 15m breakout,2026-02-03 00:15:00+00:00,2026-02-03 01:00:00+00:00,2026-02-03,3.0,"(100.0, 3.0, 3.0, -0.1402000000000001)",dynamic_exit_fixed_current,310.22,15.51,7.76,317.98
fixed_current,ORB,AUDUSD,M15,2026-02,2026-02-03 00:15:00,2026-02-03 01:00:00,BUY,0.696,0.69559,6.0,0.69641,trail_stop,1.0,100.0,0.00041,0.0521,1.1573,structure,static,ORB 15m breakout,2026-02-03 00:15:00+00:00,2026-02-03 01:00:00+00:00,2026-02-03,3.0,"(100.0, 6.0, 3.0, -0.1573)",dynamic_exit_fixed_current,317.98,15.9,15.9,333.88
fixed_current,ORB,GBPUSD,M15,2026-02,2026-02-03 00:15:00,2026-02-03 00:45:00,BUY,1.36743,1.36704,3.0,1.36743,trail_stop,0.5,100.0,0.000429,0.5,0.91,structure,static,ORB 15m breakout,2026-02-03 00:15:00+00:00,2026-02-03 00:45:00+00:00,2026-02-03,3.0,"(100.0, 3.0, 3.0, -0.08999999999999997)",dynamic_exit_fixed_current,333.88,16.69,8.35,342.23
fixed_current,LTA,USDCAD,M30,2026-02,2026-02-03 01:00:00,2026-02-03 01:30:00,BUY,1.36636,1.36593,6.0,1.36593,loss,-1.0,92.0,0.000809,0.5,,structure,static,Entry Model 2 - Internal Swing Confirmation,2026-02-03 01:00:00+00:00,2026-02-03 01:30:00+00:00,2026-02-03,4.0,"(92.0, 6.0, 4.0, 0)",dynamic_exit_fixed_current,342.23,17.11,-17.11,325.12
fixed_current,LTA,USDCAD,M15,2026-02,2026-02-03 03:15:00,2026-02-03 04:30:00,SELL,1.36767,1.36806,6.0,1.36611,trail_stop,2.5,93.0,0.000549,0.1771,,structure,static,Entry Model 2 - Internal Swing Confirmation,2026-02-03 03:15:00+00:00,2026-02-03 04:30:00+00:00,2026-02-03,3.0,"(93.0, 6.0, 3.0, 0)",dynamic_exit_fixed_current,325.12,16.26,40.64,365.75
fixed_current,ORB,AUDUSD,M15,2026-02,2026-02-04 00:15:00,2026-02-04 02:15:00,BUY,0.70225,0.70156,6.0,0.70225,trail_stop,0.5,100.0,0.00069,0.0312,1.4681,structure,static,ORB 15m breakout,2026-02-04 00:15:00+00:00,2026-02-04 02:15:00+00:00,2026-02-04,3.0,"(100.0, 6.0, 3.0, -0.46809999999999996)",dynamic_exit_fixed_current,365.75,18.29,9.14,374.9
fixed_current,ORB,GBPUSD,M15,2026-02,2026-02-04 00:15:00,2026-02-04 02:15:00,BUY,1.36971,1.36906,3.0,1.37036,trail_stop,1.0,100.0,0.00065,0.0312,1.2727,structure,static,ORB 15m breakout,2026-02-04 00:15:00+00:00,2026-02-04 02:15:00+00:00,2026-02-04,3.0,"(100.0, 3.0, 3.0, -0.27269999999999994)",dynamic_exit_fixed_current,374.9,18.74,18.74,393.64
fixed_current,ORB,NZDUSD,M15,2026-02,2026-02-04 00:15:00,2026-02-04 00:45:00,BUY,0.60403,0.60349,3.0,0.60349,loss,-1.0,100.0,0.00054,0.1458,1.0328,structure,static,ORB 15m breakout,2026-02-04 00:15:00+00:00,2026-02-04 00:45:00+00:00,2026-02-04,3.0,"(100.0, 3.0, 3.0, -0.03279999999999994)",dynamic_exit_fixed_current,393.64,19.68,-19.68,373.96
fixed_current,LTA,USDCAD,M30,2026-02,2026-02-04 04:00:00,2026-02-04 08:30:00,SELL,1.36407,1.36508,6.0,1.36407,trail_stop,0.5,97.0,0.000599,0.5,,structure,static,Entry Model 1 - Double Wick Confirmation + Entry Model 3 - Confirmation of Internal Structure,2026-02-04 04:00:00+00:00,2026-02-04 08:30:00+00:00,2026-02-04,4.0,"(97.0, 6.0, 4.0, 0)",dynamic_exit_fixed_current,373.96,18.7,9.35,383.31
fixed_current,ORB,AUDUSD,M15,2026-02,2026-02-05 00:15:00,2026-02-05 01:15:00,BUY,0.69969,0.69929,6.0,0.70009,trail_stop,1.0,100.0,0.0004,0.0208,1.1523,structure,static,ORB 15m breakout,2026-02-05 00:15:00+00:00,2026-02-05 01:15:00+00:00,2026-02-05,3.0,"(100.0, 6.0, 3.0, -0.1523000000000001)",dynamic_exit_fixed_current,383.31,19.17,19.17,402.48
fixed_current,ORB,GBPUSD,M15,2026-02,2026-02-05 00:15:00,2026-02-05 01:15:00,BUY,1.36472,1.36437,3.0,1.36472,trail_stop,0.5,100.0,0.000462,0.5,0.7573,structure,static,ORB 15m breakout,2026-02-05 00:15:00+00:00,2026-02-05 01:15:00+00:00,2026-02-05,3.0,"(100.0, 3.0, 3.0, -0.24270000000000003)",dynamic_exit_fixed_current,402.48,20.12,10.06,412.54
fixed_current,ORB,NZDUSD,M15,2026-02,2026-02-05 00:15:00,2026-02-05 01:15:00,BUY,0.59995,0.5996,3.0,0.6003,trail_stop,1.0,100.0,0.00035,0.0312,1.3102,structure,static,ORB 15m breakout,2026-02-05 00:15:00+00:00,2026-02-05 01:15:00+00:00,2026-02-05,3.0,"(100.0, 3.0, 3.0, -0.31020000000000003)",dynamic_exit_fixed_current,412.54,20.63,20.63,433.16
fixed_current,LTA,GBPJPY,M15,2026-02,2026-02-05 01:45:00,2026-02-05 04:30:00,SELL,214.08,214.25061,6.0,213.73878,trail_stop,1.5,93.0,0.124071,0.4062,,structure,static,Entry Model 1 - Double Wick Confirmation,2026-02-05 01:45:00+00:00,2026-02-05 04:30:00+00:00,2026-02-05,3.0,"(93.0, 6.0, 3.0, 0)",dynamic_exit_fixed_current,433.16,21.66,32.49,465.65
fixed_current,LTA,AUDUSD,M15,2026-02,2026-02-05 03:15:00,2026-02-06 03:30:00,SELL,0.69667,0.70034,6.0,0.69362,timeout,0.9155,90.0,0.000956,0.7812,,structure,static,Entry Model 2 - Internal Swing Confirmation,2026-02-05 03:15:00+00:00,2026-02-06 03:30:00+00:00,2026-02-05,3.0,"(90.0, 6.0, 3.0, 0)",dynamic_exit_fixed_current,465.65,23.28,21.32,486.97
fixed_current,ORB,USDCAD,M15,2026-02,2026-02-06 00:15:00,2026-02-06 00:30:00,BUY,1.37197,1.3711,6.0,1.3711,loss,-1.0,100.0,0.00087,0.1979,1.6549,structure,static,ORB 15m breakout,2026-02-06 00:15:00+00:00,2026-02-06 00:30:00+00:00,2026-02-06,3.0,"(100.0, 6.0, 3.0, -0.6549)",dynamic_exit_fixed_current,486.97,24.35,-24.35,462.62
