case,group,symbol,stage,report,from,to,model,risk_percent,initial_balance,final_balance,net_profit,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe_ratio,recovery_factor,history_quality,analysed_sharpe,analysed_recovery
rr-170,reward-risk,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-rr-170.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11027.95,1027.95,10.28,1.23,56.07,7.6,107,1.12,1.14,98%,0.98,1.31
rr-200,reward-risk,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-rr-200.htm,2023.09.01,2025.08.31,1,1.00,10000.0,12441.34,2441.34,24.41,1.6,55.79,6.4,95,2.43,3.45,98%,2.12,4.19
rr-250,reward-risk,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-rr-250.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11387.5,1387.5,13.88,1.35,50.0,8.89,84,1.37,1.27,98%,1.23,1.41
rr-300,reward-risk,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-rr-300.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11163.08,1163.08,11.63,1.3,43.84,8.5,73,1.1,1.14,98%,0.97,1.2
rr-400,reward-risk,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-rr-400.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11541.92,1541.92,15.42,1.42,44.93,9.03,69,1.39,1.37,98%,1.22,1.69
rr-500,reward-risk,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-rr-500.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11415.15,1415.15,14.15,1.37,41.18,8.8,68,1.25,1.31,98%,1.02,1.63
stop-pivot-2,stop,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-stop-pivot-2.htm,2023.09.01,2025.08.31,1,1.00,10000.0,9988.19,-11.81,-0.12,1.0,48.57,12.42,210,-0.01,-0.01,98%,-0.01,-0.01
stop-pivot-3,stop,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-stop-pivot-3.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10491.58,491.58,4.92,1.07,52.29,10.08,153,0.44,0.42,98%,0.4,0.45
stop-pivot-5,stop,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-stop-pivot-5.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11027.95,1027.95,10.28,1.23,56.07,7.6,107,1.12,1.14,98%,0.98,1.31
stop-pivot-8,stop,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-stop-pivot-8.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11151.34,1151.34,11.51,1.4,58.23,4.62,79,1.58,2.25,98%,1.38,2.41
stop-pivot-10,stop,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-stop-pivot-10.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10703.65,703.65,7.04,1.25,52.7,5.29,74,1.03,1.19,98%,0.87,1.33
stop-pivot-15,stop,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-stop-pivot-15.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10846.6,846.6,8.47,1.51,60.38,4.82,53,1.51,1.59,98%,1.38,2.09
stop-atr-050,stop,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-stop-atr-050.htm,2023.09.01,2025.08.31,1,1.00,10000.0,13240.28,3240.28,32.4,1.18,53.29,12.03,319,3.46,1.82,98%,1.41,1.98
stop-atr-075,stop,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-stop-atr-075.htm,2023.09.01,2025.08.31,1,1.00,10000.0,13543.79,3543.79,35.44,1.23,54.32,12.6,278,3.22,1.83,98%,1.62,1.92
stop-atr-100,stop,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-stop-atr-100.htm,2023.09.01,2025.08.31,1,1.00,10000.0,12667.51,2667.51,26.68,1.21,53.94,9.87,241,2.32,1.97,98%,1.4,2.24
stop-atr-125,stop,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-stop-atr-125.htm,2023.09.01,2025.08.31,1,1.00,10000.0,12593.39,2593.39,25.93,1.24,54.5,10.59,211,2.3,1.79,98%,1.46,1.94
stop-atr-150,stop,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-stop-atr-150.htm,2023.09.01,2025.08.31,1,1.00,10000.0,13488.4,3488.4,34.88,1.4,57.14,7.44,182,2.93,3.3,98%,2.1,3.55
stop-atr-200,stop,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-stop-atr-200.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11320.17,1320.17,13.2,1.21,55.86,7.86,145,1.37,1.4,98%,1.08,1.59
stop-atr-250,stop,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-stop-atr-250.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11844.94,1844.94,18.45,1.38,58.33,7.31,120,1.91,2.16,98%,1.63,2.34
stop-atr-300,stop,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-stop-atr-300.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11634.92,1634.92,16.35,1.44,58.76,5.83,97,1.84,2.32,98%,1.67,2.62
stop-signal-000,stop,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-stop-signal-000.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11652.23,1652.23,16.52,1.18,52.49,9.43,181,1.45,1.39,98%,1.04,1.61
stop-signal-010,stop,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-stop-signal-010.htm,2023.09.01,2025.08.31,1,1.00,10000.0,12859.02,2859.02,28.59,1.31,55.25,7.72,181,2.5,2.74,98%,1.71,3.17
stop-signal-025,stop,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-stop-signal-025.htm,2023.09.01,2025.08.31,1,1.00,10000.0,12208.74,2208.74,22.09,1.26,54.65,9.63,172,1.92,1.74,98%,1.42,1.96
stop-signal-050,stop,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-stop-signal-050.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11900.15,1900.15,19.0,1.3,56.94,10.78,144,1.79,1.55,98%,1.48,1.68
stop-fixed-1000,stop,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-stop-fixed-1000.htm,2023.09.01,2025.08.31,1,1.00,10000.0,12687.99,2687.99,26.88,1.18,52.85,12.91,263,2.37,1.46,98%,1.26,1.57
stop-fixed-1500,stop,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-stop-fixed-1500.htm,2023.09.01,2025.08.31,1,1.00,10000.0,14201.75,4201.75,42.02,1.39,57.35,9.08,211,3.26,3.03,98%,2.25,3.65
stop-fixed-2250,stop,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-stop-fixed-2250.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11882.57,1882.57,18.83,1.26,54.09,8.4,159,1.93,1.77,98%,1.33,1.91
stop-fixed-3000,stop,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-stop-fixed-3000.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11025.18,1025.18,10.25,1.2,55.56,6.96,126,1.17,1.28,98%,0.97,1.4
stop-fixed-4500,stop,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-stop-fixed-4500.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10906.08,906.08,9.06,1.26,54.02,6.86,87,1.09,1.15,98%,1.0,1.32
manage-none,management,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-manage-none.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11569.6,1569.6,15.7,1.45,45.71,5.86,70,1.37,2.32,98%,1.49,2.88
manage-native-100-050,management,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-manage-native-100-050.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11451.74,1451.74,14.52,1.31,56.76,6.4,111,1.6,1.87,98%,1.36,2.12
manage-native-150-100,management,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-manage-native-150-100.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11398.8,1398.8,13.99,1.34,47.56,8.24,82,1.32,1.39,98%,1.28,1.53
manage-native-200-100,management,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-manage-native-200-100.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11569.6,1569.6,15.7,1.45,45.71,5.86,70,1.37,2.32,98%,1.49,2.88
manage-dynamic5020-only,management,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-manage-dynamic5020-only.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11436.66,1436.66,14.37,1.36,56.84,8.91,95,1.5,1.31,98%,1.33,1.53
manage-dynamic6020-only,management,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-manage-dynamic6020-only.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11952.04,1952.04,19.52,1.51,56.04,7.74,91,1.91,1.98,98%,1.78,2.35
manage-dynamic7525-only,management,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-manage-dynamic7525-only.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11333.51,1333.51,13.34,1.32,49.43,9.4,87,1.26,1.16,98%,1.21,1.33
manage-dynamic5020-native,management,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-manage-dynamic5020-native.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11027.95,1027.95,10.28,1.23,56.07,7.6,107,1.12,1.14,98%,0.98,1.31
manage-dynamic6020-native,management,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-manage-dynamic6020-native.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11528.69,1528.69,15.29,1.35,54.46,6.71,101,1.57,1.88,98%,1.41,2.18
session-all,session,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-session-all.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11027.95,1027.95,10.28,1.23,56.07,7.6,107,1.12,1.14,98%,0.98,1.31
session-asia,session,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-session-asia.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10569.32,569.32,5.69,1.27,56.36,5.14,55,1.26,1.0,98%,0.83,1.18
session-london,session,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-session-london.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11428.4,1428.4,14.28,2.2,69.05,3.52,42,3.92,3.76,98%,2.39,4.67
session-new-york,session,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-session-new-york.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10638.76,638.76,6.39,1.2,55.7,7.14,79,0.87,0.79,98%,0.75,0.9
session-overlap,session,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-session-overlap.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10784.96,784.96,7.85,1.31,58.21,6.49,67,1.27,1.06,98%,1.03,1.26
timeframe-h4-pivot,timeframe,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-timeframe-h4-pivot.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11027.95,1027.95,10.28,1.23,56.07,7.6,107,1.12,1.14,98%,0.98,1.31
timeframe-h4-atr150,timeframe,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-timeframe-h4-atr150.htm,2023.09.01,2025.08.31,1,1.00,10000.0,13488.4,3488.4,34.88,1.4,57.14,7.44,182,2.93,3.3,98%,2.1,3.55
timeframe-h1-pivot,timeframe,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-timeframe-h1-pivot.htm,2023.09.01,2025.08.31,1,1.00,10000.0,12607.74,2607.74,26.08,1.15,54.09,12.92,342,1.15,1.62,98%,1.23,1.78
timeframe-h1-atr150,timeframe,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-timeframe-h1-atr150.htm,2023.09.01,2025.08.31,1,1.00,10000.0,16339.16,6339.16,63.39,1.15,52.83,29.94,689,2.04,1.41,98%,1.76,1.44
timeframe-m30-pivot,timeframe,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-timeframe-m30-pivot.htm,2023.09.01,2025.08.31,1,1.00,10000.0,12470.41,2470.41,24.7,1.08,49.5,28.16,602,0.75,0.67,98%,0.85,0.69
timeframe-m30-atr150,timeframe,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-timeframe-m30-atr150.htm,2023.09.01,2025.08.31,1,1.00,10000.0,13039.33,3039.33,30.39,1.04,48.6,26.59,1288,0.74,0.68,98%,0.63,0.71
timeframe-m15-pivot,timeframe,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-timeframe-m15-pivot.htm,2023.09.01,2025.08.31,1,1.00,10000.0,8821.56,-1178.44,-11.78,0.98,47.49,45.39,1076,-0.3,-0.2,98%,-0.36,-0.2
timeframe-m15-atr150,timeframe,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-timeframe-m15-atr150.htm,2023.09.01,2025.08.31,1,1.00,10000.0,8899.78,-1100.22,-11.0,0.99,46.41,60.57,2297,-0.22,-0.17,98%,-0.29,-0.17
trend-ema-100,signal-filter,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-trend-ema-100.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10990.68,990.68,9.91,1.2,54.78,7.84,115,0.92,1.07,98%,0.9,1.22
trend-ema-150,signal-filter,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-trend-ema-150.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10664.07,664.07,6.64,1.14,54.55,6.91,110,0.64,0.84,98%,0.65,0.97
trend-ema-200,signal-filter,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-trend-ema-200.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11027.95,1027.95,10.28,1.23,56.07,7.6,107,1.12,1.14,98%,0.98,1.31
trend-ema-250,signal-filter,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-trend-ema-250.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10826.86,826.86,8.27,1.18,55.66,6.81,106,0.92,1.06,98%,0.81,1.2
trend-slope-3,signal-filter,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-trend-slope-3.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10863.7,863.7,8.64,1.19,55.56,6.91,108,0.84,1.08,98%,0.84,1.26
trend-slope-6,signal-filter,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-trend-slope-6.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11027.95,1027.95,10.28,1.23,56.07,7.6,107,1.12,1.14,98%,0.98,1.31
trend-slope-9,signal-filter,XAUUSD,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Development\ema3-development-trend-slope-9.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10958.98,958.98,9.59,1.21,55.56,8.21,108,1.04,0.99,98%,0.91,1.12
