ea_1,label_1,symbol_1,ea_2,label_2,symbol_2,daily_r_correlation
nasdaq-overnight,Nasdaq Overnight,USTEC,us100-orb-new-york-m30,US100 ORB New York M30,USTEC,0.03478
xau-rsi-vwap,XAU RSI VWAP,XAUUSD,xau-weakness,XAU Weakness,XAUUSD,0.03432
btc-top-down-fvg-liquidity,BTC Top Down FVG Liquidity,BTCUSD,ema3,EMA3,XAUUSD,0.03422
btc-poc-fibonacci,BTC POC Fibonacci,BTCUSD,orb-volume-profile-high-win-0-75r,ORB Volume Profile High Win 0.75R,XAUUSD,0.03403
us100-month-end-flow,US100 Month End Flow,USTEC,xau-orb-london-ny-overlap-m30,XAU ORB London NY Overlap M30,XAUUSD,0.03314
btc-poc-fibonacci,BTC POC Fibonacci,BTCUSD,xau-orb-new-york-m30,XAU ORB New York M30,XAUUSD,0.03217
news-pulse-xag,News Pulse XAG,XAGUSD,xau-slow-trend,XAU Slow Trend,XAUUSD,0.03054
us100-orb-new-york-m30,US100 ORB New York M30,USTEC,xau-weakness,XAU Weakness,XAUUSD,0.02974
news-pulse-xag,News Pulse XAG,XAGUSD,xau-elliott-wave-1-2-3,XAU Elliott Wave 1-2-3,XAUUSD,0.02853
xau-orb-london-ny-overlap-m30,XAU ORB London NY Overlap M30,XAUUSD,xau-orb-new-york-m30,XAU ORB New York M30,XAUUSD,0.02793
lta-volume-profile,LTA Volume Profile,XAUUSD,us100-month-end-flow,US100 Month End Flow,USTEC,0.02756
btc-top-down-fvg-liquidity,BTC Top Down FVG Liquidity,BTCUSD,xau-weakness,XAU Weakness,XAUUSD,0.0261
nasdaq-overnight,Nasdaq Overnight,USTEC,xau-slow-trend,XAU Slow Trend,XAUUSD,0.02551
orb-volume-profile-volume-confirmed,ORB Volume Profile Volume Confirmed,XAUUSD,us100-orb-new-york-m30,US100 ORB New York M30,USTEC,0.02539
us100-h1-orb-13utc,US100 H1 ORB 13UTC,USTEC,xau-weakness,XAU Weakness,XAUUSD,0.02532
orb-volume-profile-volume-confirmed,ORB Volume Profile Volume Confirmed,XAUUSD,us100-month-end-flow,US100 Month End Flow,USTEC,0.02504
us100-month-end-flow,US100 Month End Flow,USTEC,xau-orb-new-york-m30,XAU ORB New York M30,XAUUSD,0.02457
xag-session-vwap-snapback,XAG Session VWAP Snapback,XAGUSD,xau-rsi-vwap,XAU RSI VWAP,XAUUSD,0.02453
xag-session-vwap-snapback,XAG Session VWAP Snapback,XAGUSD,xau-orb-london-ny-overlap-m30,XAU ORB London NY Overlap M30,XAUUSD,0.024
btc-top-down-fvg-liquidity,BTC Top Down FVG Liquidity,BTCUSD,orb-volume-profile-high-win-0-75r,ORB Volume Profile High Win 0.75R,XAUUSD,0.02385
orb-volume-profile-high-win-0-75r,ORB Volume Profile High Win 0.75R,XAUUSD,xau-elliott-wave-1-2-3,XAU Elliott Wave 1-2-3,XAUUSD,0.02326
xau-orb-new-york-m30,XAU ORB New York M30,XAUUSD,xau-regime-switch,XAU Regime Switch,XAUUSD,0.02316
btc-top-down-fvg-liquidity,BTC Top Down FVG Liquidity,BTCUSD,us100-selective-orb-v3,US100 Selective ORB V3,USTEC,0.02284
nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,news-pulse-xag,News Pulse XAG,XAGUSD,0.02221
xag-session-vwap-snapback,XAG Session VWAP Snapback,XAGUSD,xau-slow-trend,XAU Slow Trend,XAUUSD,0.02206
us100-h1-orb-13utc,US100 H1 ORB 13UTC,USTEC,us100-orb-new-york-m30,US100 ORB New York M30,USTEC,0.02198
ema3,EMA3,XAUUSD,us100-month-end-flow,US100 Month End Flow,USTEC,0.0209
news-pulse-xau,News Pulse XAU,XAUUSD,xau-orb-new-york-m30,XAU ORB New York M30,XAUUSD,0.02065
nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,xag-session-vwap-snapback,XAG Session VWAP Snapback,XAGUSD,0.02062
news-pulse-eurusd,News Pulse EURUSD,EURUSD,us100-selective-orb-v3,US100 Selective ORB V3,USTEC,0.02033
orb-volume-profile-high-win-0-75r,ORB Volume Profile High Win 0.75R,XAUUSD,xau-rsi-vwap,XAU RSI VWAP,XAUUSD,0.01973
xau-elliott-wave-1-2-3,XAU Elliott Wave 1-2-3,XAUUSD,xau-orb-london-ny-overlap-m30,XAU ORB London NY Overlap M30,XAUUSD,0.01964
eth-top-down-fvg-liquidity,ETH Top Down FVG Liquidity,ETHUSD,us100-month-end-flow,US100 Month End Flow,USTEC,0.01948
engineered-liquidity-xau,Engineered Liquidity XAU,XAUUSD,xau-regime-switch,XAU Regime Switch,XAUUSD,0.01915
orb-volume-profile,ORB Volume Profile,XAUUSD,xau-elliott-wave-1-2-3,XAU Elliott Wave 1-2-3,XAUUSD,0.01864
ema3,EMA3,XAUUSD,xau-orb-london-ny-overlap-m30,XAU ORB London NY Overlap M30,XAUUSD,0.01862
eth-top-down-fvg-liquidity,ETH Top Down FVG Liquidity,ETHUSD,xau-regime-switch,XAU Regime Switch,XAUUSD,0.0182
us100-h1-orb-13utc,US100 H1 ORB 13UTC,USTEC,us100-selective-orb-v3,US100 Selective ORB V3,USTEC,0.01798
lta-volume-profile,LTA Volume Profile,XAUUSD,news-pulse-xag,News Pulse XAG,XAGUSD,0.0179
lta-volume-profile,LTA Volume Profile,XAUUSD,xag-session-vwap-snapback,XAG Session VWAP Snapback,XAGUSD,0.01703
us100-month-end-flow,US100 Month End Flow,USTEC,xau-trend-progression,XAU Trend Progression,XAUUSD,0.01677
btc-top-down-fvg-liquidity,BTC Top Down FVG Liquidity,BTCUSD,xau-regime-switch,XAU Regime Switch,XAUUSD,0.01618
eth-top-down-fvg-liquidity,ETH Top Down FVG Liquidity,ETHUSD,xag-session-vwap-snapback,XAG Session VWAP Snapback,XAGUSD,0.01609
nasdaq-overnight,Nasdaq Overnight,USTEC,us100-h1-orb-13utc,US100 H1 ORB 13UTC,USTEC,0.01597
ema3,EMA3,XAUUSD,news-pulse-eurusd,News Pulse EURUSD,EURUSD,0.01596
us100-h1-orb-13utc,US100 H1 ORB 13UTC,USTEC,xau-rsi-vwap,XAU RSI VWAP,XAUUSD,0.01582
nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,xau-slow-trend,XAU Slow Trend,XAUUSD,0.01514
us100-selective-orb-v3,US100 Selective ORB V3,USTEC,xau-trend-progression,XAU Trend Progression,XAUUSD,0.01445
news-pulse-eurusd,News Pulse EURUSD,EURUSD,xau-orb-new-york-m30,XAU ORB New York M30,XAUUSD,0.01404
ema3,EMA3,XAUUSD,us100-selective-orb-v3,US100 Selective ORB V3,USTEC,0.01333
btc-poc-fibonacci,BTC POC Fibonacci,BTCUSD,eth-top-down-fvg-liquidity,ETH Top Down FVG Liquidity,ETHUSD,0.01331
news-pulse-xag,News Pulse XAG,XAGUSD,xau-regime-switch,XAU Regime Switch,XAUUSD,0.01239
btc-poc-fibonacci,BTC POC Fibonacci,BTCUSD,news-pulse-eurusd,News Pulse EURUSD,EURUSD,0.01203
orb-volume-profile-high-win-0-75r,ORB Volume Profile High Win 0.75R,XAUUSD,xag-session-vwap-snapback,XAG Session VWAP Snapback,XAGUSD,0.01188
news-pulse-xag,News Pulse XAG,XAGUSD,xau-orb-new-york-m30,XAU ORB New York M30,XAUUSD,0.01182
orb-volume-profile-high-win-0-75r,ORB Volume Profile High Win 0.75R,XAUUSD,us100-month-end-flow,US100 Month End Flow,USTEC,0.01155
nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,news-pulse-xau,News Pulse XAU,XAUUSD,0.01153
ema3,EMA3,XAUUSD,xag-session-vwap-snapback,XAG Session VWAP Snapback,XAGUSD,0.01114
us100-month-end-flow,US100 Month End Flow,USTEC,us100-selective-orb-v3,US100 Selective ORB V3,USTEC,0.0109
btc-poc-fibonacci,BTC POC Fibonacci,BTCUSD,xau-orb-london-ny-overlap-m30,XAU ORB London NY Overlap M30,XAUUSD,0.01073
asia-breakout,Asia Breakout,XAUUSD,eth-top-down-fvg-liquidity,ETH Top Down FVG Liquidity,ETHUSD,0.01066
engineered-liquidity-xau,Engineered Liquidity XAU,XAUUSD,eth-top-down-fvg-liquidity,ETH Top Down FVG Liquidity,ETHUSD,0.01028
us100-orb-new-york-m30,US100 ORB New York M30,USTEC,xau-regime-switch,XAU Regime Switch,XAUUSD,0.01014
nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,nasdaq-overnight,Nasdaq Overnight,USTEC,0.01012
asia-breakout,Asia Breakout,XAUUSD,xau-orb-new-york-m30,XAU ORB New York M30,XAUUSD,0.00977
us100-h1-orb-13utc,US100 H1 ORB 13UTC,USTEC,us100-month-end-flow,US100 Month End Flow,USTEC,0.00965
asia-breakout,Asia Breakout,XAUUSD,engineered-liquidity-xau,Engineered Liquidity XAU,XAUUSD,0.00936
btc-top-down-fvg-liquidity,BTC Top Down FVG Liquidity,BTCUSD,xau-orb-new-york-m30,XAU ORB New York M30,XAUUSD,0.00898
eth-top-down-fvg-liquidity,ETH Top Down FVG Liquidity,ETHUSD,us100-orb-new-york-m30,US100 ORB New York M30,USTEC,0.00892
xau-orb-london-ny-overlap-m30,XAU ORB London NY Overlap M30,XAUUSD,xau-regime-switch,XAU Regime Switch,XAUUSD,0.00889
xag-session-vwap-snapback,XAG Session VWAP Snapback,XAGUSD,xau-weakness,XAU Weakness,XAUUSD,0.00883
news-pulse-xag,News Pulse XAG,XAGUSD,us100-h1-orb-13utc,US100 H1 ORB 13UTC,USTEC,0.00813
orb-volume-profile,ORB Volume Profile,XAUUSD,us100-orb-new-york-m30,US100 ORB New York M30,USTEC,0.00779
btc-top-down-fvg-liquidity,BTC Top Down FVG Liquidity,BTCUSD,news-pulse-eurusd,News Pulse EURUSD,EURUSD,0.00748
asia-breakout,Asia Breakout,XAUUSD,xag-session-vwap-snapback,XAG Session VWAP Snapback,XAGUSD,0.0073
engineered-liquidity-xau,Engineered Liquidity XAU,XAUUSD,us100-h1-orb-13utc,US100 H1 ORB 13UTC,USTEC,0.00726
ema3,EMA3,XAUUSD,news-pulse-xag,News Pulse XAG,XAGUSD,0.00658
us100-selective-orb-v3,US100 Selective ORB V3,USTEC,xau-rsi-vwap,XAU RSI VWAP,XAUUSD,0.00619
news-pulse-eurusd,News Pulse EURUSD,EURUSD,xau-slow-trend,XAU Slow Trend,XAUUSD,0.00608
xag-session-vwap-snapback,XAG Session VWAP Snapback,XAGUSD,xau-trend-progression,XAU Trend Progression,XAUUSD,0.00503
xag-session-vwap-snapback,XAG Session VWAP Snapback,XAGUSD,xau-regime-switch,XAU Regime Switch,XAUUSD,0.0034
us100-month-end-flow,US100 Month End Flow,USTEC,xau-rsi-vwap,XAU RSI VWAP,XAUUSD,0.00332
lta-volume-profile,LTA Volume Profile,XAUUSD,news-pulse-xau,News Pulse XAU,XAUUSD,0.00292
ema3,EMA3,XAUUSD,xau-orb-new-york-m30,XAU ORB New York M30,XAUUSD,0.002
btc-poc-fibonacci,BTC POC Fibonacci,BTCUSD,nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,0.00159
orb-volume-profile-high-win-0-75r,ORB Volume Profile High Win 0.75R,XAUUSD,us100-orb-new-york-m30,US100 ORB New York M30,USTEC,0.00144
lta-volume-profile,LTA Volume Profile,XAUUSD,news-pulse-eurusd,News Pulse EURUSD,EURUSD,0.00088
news-pulse-xau,News Pulse XAU,XAUUSD,xau-slow-trend,XAU Slow Trend,XAUUSD,0.00083
orb-volume-profile-volume-confirmed,ORB Volume Profile Volume Confirmed,XAUUSD,xau-orb-london-ny-overlap-m30,XAU ORB London NY Overlap M30,XAUUSD,0.00072
nasdaq-overnight,Nasdaq Overnight,USTEC,us100-month-end-flow,US100 Month End Flow,USTEC,0.00062
us100-h1-orb-13utc,US100 H1 ORB 13UTC,USTEC,xau-elliott-wave-1-2-3,XAU Elliott Wave 1-2-3,XAUUSD,0.00033
news-pulse-xag,News Pulse XAG,XAGUSD,xau-trend-progression,XAU Trend Progression,XAUUSD,0.00027
btc-top-down-fvg-liquidity,BTC Top Down FVG Liquidity,BTCUSD,xau-trend-progression,XAU Trend Progression,XAUUSD,0.00025
orb-volume-profile-volume-confirmed,ORB Volume Profile Volume Confirmed,XAUUSD,xag-session-vwap-snapback,XAG Session VWAP Snapback,XAGUSD,9e-05
xag-session-vwap-snapback,XAG Session VWAP Snapback,XAGUSD,xau-elliott-wave-1-2-3,XAU Elliott Wave 1-2-3,XAUUSD,-7e-05
btc-poc-fibonacci,BTC POC Fibonacci,BTCUSD,us100-month-end-flow,US100 Month End Flow,USTEC,-0.00042
us100-orb-new-york-m30,US100 ORB New York M30,USTEC,xau-orb-new-york-m30,XAU ORB New York M30,XAUUSD,-0.00073
us100-selective-orb-v3,US100 Selective ORB V3,USTEC,xag-session-vwap-snapback,XAG Session VWAP Snapback,XAGUSD,-0.00078
news-pulse-xau,News Pulse XAU,XAUUSD,us100-orb-new-york-m30,US100 ORB New York M30,USTEC,-0.00094
us100-h1-orb-13utc,US100 H1 ORB 13UTC,USTEC,xau-regime-switch,XAU Regime Switch,XAUUSD,-0.00167
xag-session-vwap-snapback,XAG Session VWAP Snapback,XAGUSD,xau-orb-new-york-m30,XAU ORB New York M30,XAUUSD,-0.00176
nasdaq-overnight,Nasdaq Overnight,USTEC,xau-weakness,XAU Weakness,XAUUSD,-0.00183
nasdaq-overnight,Nasdaq Overnight,USTEC,xag-session-vwap-snapback,XAG Session VWAP Snapback,XAGUSD,-0.00191
orb-volume-profile-volume-confirmed,ORB Volume Profile Volume Confirmed,XAUUSD,xau-trend-progression,XAU Trend Progression,XAUUSD,-0.00199
us100-orb-new-york-m30,US100 ORB New York M30,USTEC,us100-selective-orb-v3,US100 Selective ORB V3,USTEC,-0.00244
lta-volume-profile,LTA Volume Profile,XAUUSD,orb-volume-profile-volume-confirmed,ORB Volume Profile Volume Confirmed,XAUUSD,-0.00275
btc-top-down-fvg-liquidity,BTC Top Down FVG Liquidity,BTCUSD,xau-orb-london-ny-overlap-m30,XAU ORB London NY Overlap M30,XAUUSD,-0.00279
news-pulse-xau,News Pulse XAU,XAUUSD,xau-trend-progression,XAU Trend Progression,XAUUSD,-0.00293
btc-top-down-fvg-liquidity,BTC Top Down FVG Liquidity,BTCUSD,news-pulse-xau,News Pulse XAU,XAUUSD,-0.00301
xau-rsi-vwap,XAU RSI VWAP,XAUUSD,xau-slow-trend,XAU Slow Trend,XAUUSD,-0.00317
engineered-liquidity-xau,Engineered Liquidity XAU,XAUUSD,xau-trend-progression,XAU Trend Progression,XAUUSD,-0.00323
lta-volume-profile,LTA Volume Profile,XAUUSD,xau-orb-new-york-m30,XAU ORB New York M30,XAUUSD,-0.00375
engineered-liquidity-xau,Engineered Liquidity XAU,XAUUSD,xau-elliott-wave-1-2-3,XAU Elliott Wave 1-2-3,XAUUSD,-0.00384
orb-volume-profile,ORB Volume Profile,XAUUSD,xau-orb-london-ny-overlap-m30,XAU ORB London NY Overlap M30,XAUUSD,-0.00392
ema3,EMA3,XAUUSD,nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,-0.00401
eth-top-down-fvg-liquidity,ETH Top Down FVG Liquidity,ETHUSD,xau-orb-london-ny-overlap-m30,XAU ORB London NY Overlap M30,XAUUSD,-0.0042
