case,group,symbol,stage,report,from,to,model,risk_percent,initial_balance,final_balance,net_profit,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe_ratio,recovery_factor,history_quality,analysed_sharpe,analysed_recovery
final-imp150-atr300-rr250,finalist,XAUUSD,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\Locked\xau-weakness-locked-final-imp150-atr300-rr250.htm,2025.09.01,2026.09.01,0,1.00,10000.0,13332.77,3332.77,33.33,1.23,46.12,14.44,232,2.18,1.62,99%,1.37,1.75
final-overlap-structure-rr150,finalist,XAUUSD,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\Locked\xau-weakness-locked-final-overlap-structure-rr150.htm,2025.09.01,2026.09.01,0,1.00,10000.0,11290.41,1290.41,12.9,1.52,57.14,4.64,56,6.58,2.35,99%,1.45,2.46
final-overlap-structure-rr200,finalist,XAUUSD,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\Locked\xau-weakness-locked-final-overlap-structure-rr200.htm,2025.09.01,2026.09.01,0,1.00,10000.0,11884.56,1884.56,18.85,1.69,55.36,4.58,56,7.79,3.44,99%,1.79,4.08
final-newyork-structure-rr150,finalist,XAUUSD,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\Locked\xau-weakness-locked-final-newyork-structure-rr150.htm,2025.09.01,2026.09.01,0,1.00,10000.0,11094.77,1094.77,10.95,1.19,54.46,13.42,112,3.29,0.65,99%,0.85,0.68
selected-m30-rr400-dynamic5020,selected-management,XAUUSD,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\Locked\xau-weakness-locked-selected-m30-rr400-dynamic5020.htm,2025.09.01,2026.09.01,0,1.00,10000.0,18960.41,8960.41,89.6,1.89,43.2,12.79,125,5.4,3.87,99%,2.78,4.69
selected-m30-rr400-dynamic6020,selected-management,XAUUSD,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\Locked\xau-weakness-locked-selected-m30-rr400-dynamic6020.htm,2025.09.01,2026.09.01,0,1.00,10000.0,16492.01,6492.01,64.92,1.62,35.77,13.27,123,3.87,2.95,99%,2.14,3.52
selected-m30-rr400-dynamic7525,selected-management,XAUUSD,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\Locked\xau-weakness-locked-selected-m30-rr400-dynamic7525.htm,2025.09.01,2026.09.01,0,1.00,10000.0,16585.78,6585.78,65.86,1.59,32.79,14.85,122,3.74,2.54,99%,2.06,3.01
selected-m30-rr400-none,selected-management,XAUUSD,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\Locked\xau-weakness-locked-selected-m30-rr400-none.htm,2025.09.01,2026.09.01,0,1.00,10000.0,15990.51,5990.51,59.91,1.54,29.06,18.73,117,3.25,1.83,99%,1.88,2.21
selected-m30-rr400-native150,selected-management,XAUUSD,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\Locked\xau-weakness-locked-selected-m30-rr400-native150.htm,2025.09.01,2026.09.01,0,1.00,10000.0,19565.34,9565.34,95.65,2.0,55.63,8.32,151,7.48,6.75,99%,3.49,8.51
selected-m30-rr400-safe5020,selected-management,XAUUSD,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\Locked\xau-weakness-locked-selected-m30-rr400-safe5020.htm,2025.09.01,2026.09.01,0,1.00,10000.0,16940.57,6940.57,69.41,2.09,43.68,5.47,87,5.95,7.38,99%,2.72,10.12
selected-m30-rr400-safe6020,selected-management,XAUUSD,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\Locked\xau-weakness-locked-selected-m30-rr400-safe6020.htm,2025.09.01,2026.09.01,0,1.00,10000.0,15272.75,5272.75,52.73,1.78,36.47,5.63,85,4.36,5.95,99%,2.12,7.07
