case,group,stage,report,from,to,model,reward_risk,stop_buffer_atr,minimum_stop_atr,break_even_at_r,maximum_holding_bars,dynamic,dynamic_trigger,dynamic_lock,session,safe_filter,risk_percent,initial_balance,final_balance,net_profit,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe_ratio,recovery_factor,history_quality,analysed_sharpe,analysed_recovery
stop-b002-min020,stop,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Development\eth-development-stop-b002-min020.htm,2023.09.01,2025.08.31,1,3.00,0.02,0.20,0.00,96,false,0.50,0.20,0,false,1.00,10000.0,10822.3,822.3,8.22,2.26,50.0,4.65,12,2.61,1.76,100%,1.26,2.44
stop-b005-min030,stop,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Development\eth-development-stop-b005-min030.htm,2023.09.01,2025.08.31,1,3.00,0.05,0.30,0.00,96,false,0.50,0.20,0,false,1.00,10000.0,10812.96,812.96,8.13,2.23,50.0,4.61,12,2.46,1.75,100%,1.25,2.37
stop-b010-min030,stop,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Development\eth-development-stop-b010-min030.htm,2023.09.01,2025.08.31,1,3.00,0.10,0.30,0.00,96,false,0.50,0.20,0,false,1.00,10000.0,10809.57,809.57,8.1,2.23,50.0,4.56,12,2.52,1.76,100%,1.24,2.36
stop-b010-min050,stop,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Development\eth-development-stop-b010-min050.htm,2023.09.01,2025.08.31,1,3.00,0.10,0.50,0.00,96,false,0.50,0.20,0,false,1.00,10000.0,10809.57,809.57,8.1,2.23,50.0,4.56,12,2.52,1.76,100%,1.24,2.36
stop-b015-min050,stop,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Development\eth-development-stop-b015-min050.htm,2023.09.01,2025.08.31,1,3.00,0.15,0.50,0.00,96,false,0.50,0.20,0,false,1.00,10000.0,10806.45,806.45,8.06,2.23,50.0,4.51,12,2.57,1.78,100%,1.24,2.36
stop-b025-min050,stop,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Development\eth-development-stop-b025-min050.htm,2023.09.01,2025.08.31,1,3.00,0.25,0.50,0.00,96,false,0.50,0.20,0,false,1.00,10000.0,11235.41,1235.41,12.35,3.16,58.33,3.62,12,3.77,2.96,100%,1.83,3.49
stop-b020-min075,stop,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Development\eth-development-stop-b020-min075.htm,2023.09.01,2025.08.31,1,3.00,0.20,0.75,0.00,96,false,0.50,0.20,0,false,1.00,10000.0,10802.01,802.01,8.02,2.22,50.0,4.47,12,2.63,1.78,100%,1.24,2.35
manage-native,management,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Development\eth-development-manage-native.htm,2023.09.01,2025.08.31,1,3.00,0.10,0.30,0.00,96,false,0.50,0.20,0,false,1.00,10000.0,10809.57,809.57,8.1,2.23,50.0,4.56,12,2.52,1.76,100%,1.24,2.36
manage-current-dynamic5020,management,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Development\eth-development-manage-current-dynamic5020.htm,2023.09.01,2025.08.31,1,3.00,0.10,0.30,0.00,96,true,0.50,0.20,0,false,1.00,10000.0,10636.03,636.03,6.36,1.97,53.85,4.56,13,2.87,1.38,100%,1.07,2.06
manage-be050,management,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Development\eth-development-manage-be050.htm,2023.09.01,2025.08.31,1,3.00,0.10,0.30,0.50,96,false,0.50,0.20,0,false,1.00,10000.0,9868.1,-131.9,-1.32,0.69,69.23,3.57,13,-1.23,-0.37,100%,-0.37,-0.61
manage-be100,management,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Development\eth-development-manage-be100.htm,2023.09.01,2025.08.31,1,3.00,0.10,0.30,1.00,96,false,0.50,0.20,0,false,1.00,10000.0,10349.54,349.54,3.5,1.81,58.33,4.56,12,1.4,0.76,100%,0.72,1.13
manage-be150,management,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Development\eth-development-manage-be150.htm,2023.09.01,2025.08.31,1,3.00,0.10,0.30,1.50,96,false,0.50,0.20,0,false,1.00,10000.0,10553.91,553.91,5.54,2.02,58.33,4.56,12,2.01,1.21,100%,0.96,1.79
manage-hold48,management,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Development\eth-development-manage-hold48.htm,2023.09.01,2025.08.31,1,3.00,0.10,0.30,0.00,48,false,0.50,0.20,0,false,1.00,10000.0,10553.13,553.13,5.53,1.7,38.46,4.31,13,2.51,1.17,100%,0.84,1.51
manage-hold192,management,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Development\eth-development-manage-hold192.htm,2023.09.01,2025.08.31,1,3.00,0.10,0.30,0.00,192,false,0.50,0.20,0,false,1.00,10000.0,10622.53,622.53,6.23,1.95,45.45,4.47,11,1.33,1.25,100%,0.98,1.85
manage-dynamic6020,management,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Development\eth-development-manage-dynamic6020.htm,2023.09.01,2025.08.31,1,3.00,0.10,0.30,0.00,96,true,0.60,0.20,0,false,1.00,10000.0,10467.14,467.14,4.67,1.62,46.15,4.56,13,2.04,1.02,100%,0.76,1.23
manage-dynamic7525,management,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Development\eth-development-manage-dynamic7525.htm,2023.09.01,2025.08.31,1,3.00,0.10,0.30,0.00,96,true,0.75,0.25,0,false,1.00,10000.0,10572.78,572.78,5.73,1.88,50.0,4.56,12,1.96,1.25,100%,0.96,1.71
session-all,session,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Development\eth-development-session-all.htm,2023.09.01,2025.08.31,1,3.00,0.10,0.30,0.00,96,true,0.50,0.20,0,false,1.00,10000.0,10636.03,636.03,6.36,1.97,53.85,4.56,13,2.87,1.38,100%,1.07,2.06
session-asia,session,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Development\eth-development-session-asia.htm,2023.09.01,2025.08.31,1,3.00,0.10,0.30,0.00,96,true,0.50,0.20,1,false,1.00,10000.0,9896.34,-103.66,-1.04,0.0,0.0,1.75,1,-0.24,-0.59,100%,,-1.0
session-london,session,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Development\eth-development-session-london.htm,2023.09.01,2025.08.31,1,3.00,0.10,0.30,0.00,96,true,0.50,0.20,2,false,1.00,10000.0,10356.62,356.62,3.57,76.88,100.0,1.61,2,0.9,2.2,100%,2.13,123.4
session-new-york,session,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Development\eth-development-session-new-york.htm,2023.09.01,2025.08.31,1,3.00,0.10,0.30,0.00,96,true,0.50,0.20,3,false,1.00,10000.0,10236.32,236.32,2.36,1.56,42.86,2.75,7,1.05,0.86,100%,0.51,1.12
session-overlap,session,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Development\eth-development-session-overlap.htm,2023.09.01,2025.08.31,1,3.00,0.10,0.30,0.00,96,true,0.50,0.20,4,false,1.00,10000.0,10556.92,556.92,5.57,6.15,75.0,2.37,4,1.31,2.32,100%,1.63,5.37
safe-off,safe-filter,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Development\eth-development-safe-off.htm,2023.09.01,2025.08.31,1,3.00,0.10,0.30,0.00,96,true,0.50,0.20,0,false,1.00,10000.0,10636.03,636.03,6.36,1.97,53.85,4.56,13,2.87,1.38,100%,1.07,2.06
safe-on,safe-filter,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Development\eth-development-safe-on.htm,2023.09.01,2025.08.31,1,3.00,0.10,0.30,0.00,96,true,0.50,0.20,0,true,1.00,10000.0,10244.25,244.25,2.44,1.58,55.56,3.56,9,0.73,0.68,100%,0.6,1.18
combo-rr4-stop025-native,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Development\eth-development-combo-rr4-stop025-native.htm,2023.09.01,2025.08.31,1,4.00,0.25,0.50,0.00,96,false,0.50,0.20,0,false,1.00,10000.0,11224.36,1224.36,12.24,2.79,50.0,6.29,12,3.06,1.64,100%,1.49,3.46
combo-rr4-dynamic5020,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Development\eth-development-combo-rr4-dynamic5020.htm,2023.09.01,2025.08.31,1,4.00,0.10,0.30,0.00,96,true,0.50,0.20,0,false,1.00,10000.0,10889.47,889.47,8.89,2.34,50.0,4.56,12,2.75,1.94,100%,1.21,2.58
combo-rr4-dynamic5020-safe,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Development\eth-development-combo-rr4-dynamic5020-safe.htm,2023.09.01,2025.08.31,1,4.00,0.10,0.30,0.00,96,true,0.50,0.20,0,true,1.00,10000.0,10288.44,288.44,2.88,1.68,50.0,3.52,8,0.58,0.78,100%,0.6,1.36
combo-stop025-dynamic5020,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Development\eth-development-combo-stop025-dynamic5020.htm,2023.09.01,2025.08.31,1,3.00,0.25,0.50,0.00,96,true,0.50,0.20,0,false,1.00,10000.0,11057.49,1057.49,10.57,2.87,61.54,3.69,13,4.58,2.85,100%,1.68,4.5
combo-rr4-stop025-dynamic5020,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Development\eth-development-combo-rr4-stop025-dynamic5020.htm,2023.09.01,2025.08.31,1,4.00,0.25,0.50,0.00,96,true,0.50,0.20,0,false,1.00,10000.0,11428.46,1428.46,14.28,3.47,58.33,4.59,12,3.68,2.63,100%,1.8,3.96
combo-rr4-stop025-safe,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Development\eth-development-combo-rr4-stop025-safe.htm,2023.09.01,2025.08.31,1,4.00,0.25,0.50,0.00,96,false,0.50,0.20,0,true,1.00,10000.0,10602.1,602.1,6.02,2.41,50.0,3.29,8,1.08,1.69,100%,1.02,2.76
