case,group,stage,report,from,to,model,reward_risk,stop_buffer_atr,minimum_stop_atr,break_even_at_r,maximum_holding_bars,dynamic,session,risk_percent,initial_balance,final_balance,net_profit,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe_ratio,recovery_factor,history_quality,analysed_sharpe,analysed_recovery
stop-b005-min030,stop,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\02 BTC Top Down FVG\Backtest Reports\Development\btc-development-stop-b005-min030.htm,2023.09.01,2025.08.31,1,2.00,0.05,0.30,0.00,96,false,0,1.00,10000.0,10533.99,533.99,5.34,1.18,38.3,7.75,47,3.89,0.65,100%,0.54,0.71
stop-b010-min030,stop,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\02 BTC Top Down FVG\Backtest Reports\Development\btc-development-stop-b010-min030.htm,2023.09.01,2025.08.31,1,2.00,0.10,0.30,0.00,96,false,0,1.00,10000.0,10677.85,677.85,6.78,1.23,39.13,6.71,46,5.0,0.95,100%,0.68,1.05
stop-b010-min050,stop,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\02 BTC Top Down FVG\Backtest Reports\Development\btc-development-stop-b010-min050.htm,2023.09.01,2025.08.31,1,2.00,0.10,0.50,0.00,96,false,0,1.00,10000.0,10677.85,677.85,6.78,1.23,39.13,6.71,46,5.0,0.95,100%,0.68,1.05
stop-b015-min050,stop,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\02 BTC Top Down FVG\Backtest Reports\Development\btc-development-stop-b015-min050.htm,2023.09.01,2025.08.31,1,2.00,0.15,0.50,0.00,96,false,0,1.00,10000.0,10335.17,335.17,3.35,1.11,36.96,7.12,46,2.54,0.44,100%,0.34,0.52
stop-b025-min050,stop,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\02 BTC Top Down FVG\Backtest Reports\Development\btc-development-stop-b025-min050.htm,2023.09.01,2025.08.31,1,2.00,0.25,0.50,0.00,96,false,0,1.00,10000.0,10074.71,74.71,0.75,1.02,34.78,9.38,46,0.52,0.07,100%,0.08,0.08
stop-b020-min075,stop,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\02 BTC Top Down FVG\Backtest Reports\Development\btc-development-stop-b020-min075.htm,2023.09.01,2025.08.31,1,2.00,0.20,0.75,0.00,96,false,0,1.00,10000.0,10671.33,671.33,6.71,1.23,39.13,7.08,46,4.78,0.86,100%,0.66,1.03
manage-current,management,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\02 BTC Top Down FVG\Backtest Reports\Development\btc-development-manage-current.htm,2023.09.01,2025.08.31,1,2.00,0.10,0.30,0.00,96,false,0,1.00,10000.0,10677.85,677.85,6.78,1.23,39.13,6.71,46,5.0,0.95,100%,0.68,1.05
manage-be050,management,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\02 BTC Top Down FVG\Backtest Reports\Development\btc-development-manage-be050.htm,2023.09.01,2025.08.31,1,2.00,0.10,0.30,0.50,96,false,0,1.00,10000.0,10299.9,299.9,3.0,1.18,65.22,7.42,46,3.75,0.39,100%,0.41,0.55
manage-be100,management,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\02 BTC Top Down FVG\Backtest Reports\Development\btc-development-manage-be100.htm,2023.09.01,2025.08.31,1,2.00,0.10,0.30,1.00,96,false,0,1.00,10000.0,10708.13,708.13,7.08,1.31,52.17,6.4,46,6.03,1.06,100%,0.79,1.17
manage-hold48,management,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\02 BTC Top Down FVG\Backtest Reports\Development\btc-development-manage-hold48.htm,2023.09.01,2025.08.31,1,2.00,0.10,0.30,0.00,48,false,0,1.00,10000.0,10536.21,536.21,5.36,1.18,39.13,6.71,46,4.1,0.75,100%,0.55,0.83
manage-hold192,management,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\02 BTC Top Down FVG\Backtest Reports\Development\btc-development-manage-hold192.htm,2023.09.01,2025.08.31,1,2.00,0.10,0.30,0.00,192,false,0,1.00,10000.0,10677.85,677.85,6.78,1.23,39.13,6.71,46,5.0,0.95,100%,0.68,1.05
manage-dynamic5020,management,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\02 BTC Top Down FVG\Backtest Reports\Development\btc-development-manage-dynamic5020.htm,2023.09.01,2025.08.31,1,2.00,0.10,0.30,0.00,96,true,0,1.00,10000.0,10792.67,792.67,7.93,1.3,45.65,6.58,46,6.57,1.11,100%,0.83,1.31
session-all,session,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\02 BTC Top Down FVG\Backtest Reports\Development\btc-development-session-all.htm,2023.09.01,2025.08.31,1,2.00,0.10,0.30,0.00,96,false,0,1.00,10000.0,10677.85,677.85,6.78,1.23,39.13,6.71,46,5.0,0.95,100%,0.68,1.05
session-asia,session,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\02 BTC Top Down FVG\Backtest Reports\Development\btc-development-session-asia.htm,2023.09.01,2025.08.31,1,2.00,0.10,0.30,0.00,96,false,1,1.00,10000.0,10748.39,748.39,7.48,1.71,47.37,4.83,19,8.93,1.47,100%,1.14,1.81
session-london,session,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\02 BTC Top Down FVG\Backtest Reports\Development\btc-development-session-london.htm,2023.09.01,2025.08.31,1,2.00,0.10,0.30,0.00,96,false,2,1.00,10000.0,10476.68,476.68,4.77,2.5,57.14,2.7,7,2.37,1.68,100%,1.22,4.44
session-new-york,session,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\02 BTC Top Down FVG\Backtest Reports\Development\btc-development-session-new-york.htm,2023.09.01,2025.08.31,1,2.00,0.10,0.30,0.00,96,false,3,1.00,10000.0,10131.83,131.83,1.32,1.11,36.84,4.47,19,1.68,0.28,100%,0.21,0.43
session-overlap,session,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\02 BTC Top Down FVG\Backtest Reports\Development\btc-development-session-overlap.htm,2023.09.01,2025.08.31,1,2.00,0.10,0.30,0.00,96,false,4,1.00,10000.0,10060.53,60.53,0.61,1.07,35.71,4.04,14,0.66,0.15,100%,0.12,0.2
combo-asia-dynamic5020,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\02 BTC Top Down FVG\Backtest Reports\Development\btc-development-combo-asia-dynamic5020.htm,2023.09.01,2025.08.31,1,2.00,0.10,0.30,0.00,96,true,1,1.00,10000.0,10735.91,735.91,7.36,1.76,52.63,4.61,19,9.57,1.5,100%,1.17,1.75
combo-asia-be100,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\02 BTC Top Down FVG\Backtest Reports\Development\btc-development-combo-asia-be100.htm,2023.09.01,2025.08.31,1,2.00,0.10,0.30,1.00,96,false,1,1.00,10000.0,10862.46,862.46,8.62,2.14,63.16,4.63,19,11.67,1.76,100%,1.44,2.05
